order	contig	length	md5_uppercase_sequence
197	HUMAN_KI270420.1	2321	bac954a897539c91982a7e3985a49910
198	HUMAN_KI270509.1	2318	1cdeb8c823d839e1d1735b5bc9a14856
199	HUMAN_KI270315.1	2276	ecc43e822dc011fae1fcfd9981c46e9c
200	HUMAN_KI270302.1	2274	ee6dff38036f7d03478c70717643196e
201	HUMAN_KI270518.1	2186	3fd898b62ca859f50fb8b83e7706352b
202	HUMAN_KI270530.1	2168	04549369e1197c626669a10164613635
203	HUMAN_KI270304.1	2165	9423c1b46a48aa6331a77ab5c702ac9d
204	HUMAN_KI270418.1	2145	1537ec12b9c58d137a2d4cb9db896bbc
205	HUMAN_KI270424.1	2140	747c8f94f34d5de4ad289bc604708210
206	HUMAN_KI270417.1	2043	cd26758fda713f9c96e51d541f50c2d0
207	HUMAN_KI270508.1	1951	7d42a358d472b9cbdfdf30c8742473d0
208	HUMAN_KI270303.1	1942	2cb746c78e0faa11e628603a4bc9bd58
209	HUMAN_KI270381.1	1930	2a9297cfd3b3807195ab9ad07e775d99
210	HUMAN_KI270529.1	1899	4caf890f2586daab8e4b2e2db904f05f
211	HUMAN_KI270425.1	1884	665a46879bbb48294b0cfa87b61e71f6
212	HUMAN_KI270396.1	1880	9069bed3c2efe7cc87227d619ad5816f
213	HUMAN_KI270363.1	1803	6edd17a912f391022edbc192d49f2489
214	HUMAN_KI270386.1	1788	b9b1baaa7abf206f6b70cf31654172db
215	HUMAN_KI270465.1	1774	bb1b2323414425c46531b3c3d22ae00d
216	HUMAN_KI270383.1	1750	694d75683e4a9554bcc1291edbcaee43
217	HUMAN_KI270384.1	1658	b06e44ea15d0a57618d6ca7d2e6ac5d2
218	HUMAN_KI270330.1	1652	c2c590706a339007b00c59e0b8937e78
219	HUMAN_KI270372.1	1650	53a9d5e8fd28bce5da5efcfd9114dbf2
220	HUMAN_KI270548.1	1599	866b0db8e9cf66208c2c064bd09ce0a2
221	HUMAN_KI270580.1	1553	1df30dae0f605811d927dcea58e729fc
222	HUMAN_KI270387.1	1537	22a12462264340c25e912b8485cdfa91
223	HUMAN_KI270391.1	1484	1fa5cf03b3eac0f1b4a64948fd09de53
224	HUMAN_KI270305.1	1472	f9acea3395b6992cf3418b6689b98cf9
225	HUMAN_KI270373.1	1451	b174fe53be245a840cd6324e39b88ced
226	HUMAN_KI270422.1	1445	3fce80eb4c0554376b591699031feb56
227	HUMAN_KI270316.1	1444	6adde7a9fe7bd6918f12d0f0924aa8ba
228	HUMAN_KI270340.1	1428	56b462bac20d385cdfcde0155fe4c3a1
229	HUMAN_KI270338.1	1428	301ef75a6b2996d745eb3464bd352b57
230	HUMAN_KI270583.1	1400	b127e2e6dbe358ff192b271b8c6ee690
231	HUMAN_KI270334.1	1368	53afe12d1371f250a3d1de655345d374
232	HUMAN_KI270429.1	1361	ee8962dbef9396884f649e566b78bf06
233	HUMAN_KI270393.1	1308	3724e1d70677d6b5c4bcf17fd40da111
234	HUMAN_KI270516.1	1300	1cbaaafbbf016906a5bf5886f5a0ecb7
235	HUMAN_KI270389.1	1298	2c9b08c57c27e714d4d5259fd91b6983
236	HUMAN_KI270466.1	1233	530b7033716a5d72dd544213c513fd12
237	HUMAN_KI270388.1	1216	76f9f3315fa4b831e93c36cd88196480
238	HUMAN_KI270544.1	1202	e62a14b14467cdf48b5a236c66918f0f
239	HUMAN_KI270310.1	1201	af6cb123af7007793bac06485a2a20e9
240	HUMAN_KI270412.1	1179	7bb9612f733fb7f098be79499d46350c
241	HUMAN_KI270395.1	1143	7c03ca4756c1620f318fb189214388d8
242	HUMAN_KI270376.1	1136	59e8fc80b78d62325082334b43dffdba
243	HUMAN_KI270337.1	1121	16fc8d71a2662a6cfec7bdeec3d810c6
244	HUMAN_KI270335.1	1048	eb27188639503b524d2659a23b8262ea
245	HUMAN_KI270378.1	1048	fc13bda7dbd914c92fb7e49489d1350f
246	HUMAN_KI270379.1	1045	3218bef25946cd95de585dfc7750f63b
247	HUMAN_KI270329.1	1040	f023f927ae84c5cc48dc4dce11ba90f2
248	HUMAN_KI270419.1	1029	58455e7a788f0dc82034d1fb109f6f5c
249	HUMAN_KI270336.1	1026	69ad2d85d870c8b0269434581e86e30e
250	HUMAN_KI270312.1	998	26499f2fe4c65621fd8f4ecafbad31d7
251	HUMAN_KI270539.1	993	19e3a982e67eafef39c5a3e4163f1e17
252	HUMAN_KI270385.1	990	112a8b1df94ef0498a0bfe2d2ea5cc23
253	HUMAN_KI270423.1	981	bdf5a85c001731dccfb150db2bfe58ac
254	HUMAN_KI270392.1	971	59b3ca8de65fb171683f8a06d3b4bf0d
255	HUMAN_KI270394.1	970	d5171e863a3d8f832f0559235987b1e5
