contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit
chx_dose		chr12:ARL6IP4:s:122981299|12:122981299-122981655:+	ARL6IP4	chr12:ARL6IP4:s:122981299	s	122981299	12:122981299-122981655:+	12	122981299	122981655	+	411.2	0.068	0.089	0.251	0.183	0.162	0.0929	ols_slope	0.00435367516808714	0.06592708111674812	1	1
chx_dose		chr12:ARL6IP4:s:122981266|12:122981266-122981703:+	ARL6IP4	chr12:ARL6IP4:s:122981266	s	122981266	12:122981266-122981703:+	12	122981266	122981703	+	237.2	0.001	0.035	0.182	0.181	0.174	0.0971	ols_slope	0.003663958128103212	0.0613379413541761	1	1
chx_dose		chr16:SRRM2:t:2757471|16:2756606-2757471:+	SRRM2	chr16:SRRM2:t:2757471	t	2757471	16:2756606-2757471:+	16	2756606	2757471	+	257.7	0.746	0.9	0.924	0.178	0.169	0.0856	ols_slope	0.007232881136429554	0.08798233449200395	1	1
chx_dose		chr19:RPS9:t:54207397|19:54206724-54207397:+	RPS9	chr19:RPS9:t:54207397	t	54207397	19:54206724-54207397:+	19	54206724	54207397	+	2345.8	0.007	0.063	0.185	0.177	0.177	0.0876	ols_slope	3.374112981544892e-05	0.005960932934062642	1	1
chx_dose		chr19:DDX39A:s:14410988|19:14410605-14410988:-	DDX39A	chr19:DDX39A:s:14410988	s	14410988	19:14410605-14410988:-	19	14410605	14410988	-	208.2	0.031	0.055	0.201	0.17	0.166	0.0863	ols_slope	0.0018950092901780296	0.04194846321038207	1	1
chx_dose		chr15:SNRPA1:t:101285801|15:101285801-101286907:-	SNRPA1	chr15:SNRPA1:t:101285801	t	101285801	15:101285801-101286907:-	15	101285801	101286907	-	268.8	0.036	0.185	0.205	0.168	0.174	0.0842	ols_slope	0.0007444319081326742	0.029294919601360776	1	1
chx_dose		chr9:EDF1:s:136862905|9:136862345-136862905:-	EDF1	chr9:EDF1:s:136862905	s	136862905	9:136862345-136862905:-	9	136862345	136862905	-	465.4	0.477	0.595	0.643	0.166	0.146	0.0869	ols_slope	0.0012729411820450935	0.03550835928862638	1	1
chx_dose		chr19:ENSG00000266953:s:34404815|19:34404815-34409160:+	ENSG00000266953	chr19:ENSG00000266953:s:34404815	s	34404815	19:34404815-34409160:+	19	34404815	34409160	+	123.2	0.0	0.013	0.164	0.164	0.18	0.0849	ols_slope	0.0018995530510361692	0.04194846321038207	1	1
chx_dose		chr16:ENSG00000280607:t:29810076|16:29809764-29810076:+	ENSG00000280607	chr16:ENSG00000280607:t:29810076	t	29810076	16:29809764-29810076:+	16	29809764	29810076	+	301.1	0.224	0.356	0.387	0.162	0.135	0.0815	ols_slope	0.004344872663702978	0.06592708111674812	1	1
chx_dose		chr9:SURF2:t:133357710|9:133357182-133357710:+	SURF2	chr9:SURF2:t:133357710	t	133357710	9:133357182-133357710:+	9	133357182	133357710	+	111.3	0.099	0.096	0.261	0.162	0.108	0.0809	ols_slope	0.007754698316330584	0.08798233449200395	0	1
chx_dose		chr19:DDX39A:t:14410334|19:14410334-14410547:-	DDX39A	chr19:DDX39A:t:14410334	t	14410334	19:14410334-14410547:-	19	14410334	14410547	-	219.0	0.014	0.068	0.16	0.147	0.155	0.0717	ols_slope	0.008337654704002056	0.09018279577798143	1	1
chx_high	1	chr19:AKAP8L:s:15399301|19:15398766-15399301:-	AKAP8L	chr19:AKAP8L:s:15399301	s	15399301	19:15398766-15399301:-	19	15398766	15399301	-	101.8	0.321		0.781	0.459	0.487		welch	0.001434261106284105	0.09369707094572077	1	1
chx_high	2	chr19:CLASRP:t:45068419|19:45068058-45068419:+	CLASRP	chr19:CLASRP:t:45068419	t	45068419	19:45068058-45068419:+	19	45068058	45068419	+	339.3	0.249		0.706	0.456	0.47		welch	0.00025424971917843573	0.024746972666701075	1	1
chx_high	3	chr16:EIF3C:t:28723163|16:28721032-28723163:+	EIF3C	chr16:EIF3C:t:28723163	t	28723163	16:28721032-28723163:+	16	28721032	28723163	+	240.5	0.084		0.477	0.394	0.402		welch	0.0016044018997554905	0.09369707094572077	1	1
chx_high	4	chr15:SNRPA1:t:101285801|15:101285801-101286907:-	SNRPA1	chr15:SNRPA1:t:101285801	t	101285801	15:101285801-101286907:-	15	101285801	101286907	-	263.0	0.036		0.205	0.168	0.174		welch	8.480654687680651e-05	0.016509007792018335	1	1
chx_high	5	chr11:DEAF1:t:644654|11:644654-646326:-	DEAF1	chr11:DEAF1:t:644654	t	644654	11:644654-646326:-	11	644654	646326	-	225.0	0.067		0.219	0.152	0.118		welch	1.5496341617931743e-05	0.009049863504872137	1	1
chx_high	6	chr19:DDX39A:t:14410334|19:14410334-14410547:-	DDX39A	chr19:DDX39A:t:14410334	t	14410334	19:14410334-14410547:-	19	14410334	14410547	-	261.8	0.014		0.16	0.147	0.155		welch	0.00022614953129807976	0.024746972666701075	1	1
