contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CHX_dose_50ug_mL-1	psi_CHX_dose_50ug_mL-2	psi_CHX_dose_50ug_mL-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CHX_dose_50ug_mL-1	n_CHX_dose_50ug_mL-2	n_CHX_dose_50ug_mL-3
chx_high		chr4:TMA16:t:163507032|4:163494836-163507032:+	TMA16	chr4:TMA16:t:163507032	t	163507032	4:163494836-163507032:+	4	163494836	163507032	+	213.5	0.073		0.266	0.193	0.194		welch	0.05475818028227129	0.30455978366520414	1	0	0.082	0.111	0.025	0.321	0.152	0.29	219	307	278	221	132	124
chx_high		chr18:TXNL4A:s:79988239|18:79986750-79988239:-	TXNL4A	chr18:TXNL4A:s:79988239	s	79988239	18:79986750-79988239:-	18	79986750	79988239	-	181.0	0.109		0.301	0.192	0.206		welch	0.009584535180669084	0.13745574624330004	1	0	0.164	0.074	0.092	0.326	0.238	0.324	275	270	315	95	63	68
chx_high		chr5:ATG12:s:115841389|5:115840612-115841389:-	ATG12	chr5:ATG12:s:115841389	s	115841389	5:115840612-115841389:-	5	115840612	115841389	-	105.7	0.012		0.201	0.19			welch	0.13510450555524056	0.45607532511133236	1	0	0.0	0.025	0.0	0.162	0.299	0.062	99	163	79	68	144	81
chx_high		chr16:TCF25:t:89883350|16:89878627-89883350:+	TCF25	chr16:TCF25:t:89883350	t	89883350	16:89878627-89883350:+	16	89878627	89883350	+	386.2	0.021		0.21	0.188	0.22		welch	0.004122851863411066	0.13579217745189653	1	0	0.012	0.012	0.034	0.177	0.207	0.24	323	331	475	333	455	400
chx_high		chr17:SNHG29:s:16439414|17:16439414-16439659:+	SNHG29	chr17:SNHG29:s:16439414	s	16439414	17:16439414-16439659:+	17	16439414	16439659	+	246.0	0.075		0.263	0.188	0.118		welch	0.030247760171392895	0.2428115645933954	1	0	0.062	0.034	0.116	0.333	0.295	0.181	275	320	398	135	166	182
chx_high		chr11:MRPL23:t:1956255|11:1955781-1956255:+	MRPL23	chr11:MRPL23:t:1956255	t	1956255	11:1955781-1956255:+	11	1955781	1956255	+	195.2	0.0		0.188	0.188	0.14		welch	0.09899843729621625	0.4094519542037817	1	0	0.0	0.0	0.0	0.195	0.266	0.063	144	189	359	164	188	127
chx_high		chr11:SF1:t:64770408|11:64770408-64776497:-	SF1	chr11:SF1:t:64770408	t	64770408	11:64770408-64776497:-	11	64770408	64776497	-	134.3	0.017		0.201	0.184	0.192		welch	0.005655762076111004	0.13579217745189653	1	0	0.0	0.005	0.038	0.257	0.187	0.184	95	188	185	74	150	114
chx_high		chr19:PTBP1:t:806407|19:805569-806407:+	PTBP1	chr19:PTBP1:t:806407	t	806407	19:805569-806407:+	19	805569	806407	+	272.8	0.603		0.787	0.184	0.16		welch	0.011418429998019385	0.15507821206612374	1	0	0.617	0.641	0.54	0.755	0.817	0.772	334	432	337	102	208	224
chx_high		chr12:ARL6IP4:s:122981299|12:122981299-122981655:+	ARL6IP4	chr12:ARL6IP4:s:122981299	s	122981299	12:122981299-122981655:+	12	122981299	122981655	+	477.8	0.068		0.251	0.183	0.162		welch	0.0018957745600528808	0.10064839482462568	1	0	0.072	0.089	0.042	0.245	0.289	0.226	612	662	614	282	304	393
chx_high		chr12:ARL6IP4:s:122981266|12:122981266-122981703:+	ARL6IP4	chr12:ARL6IP4:s:122981266	s	122981266	12:122981266-122981703:+	12	122981266	122981703	+	269.7	0.001		0.182	0.181	0.174		welch	0.02754393937591657	0.2369859708758753	1	0	0.003	0.0	0.0	0.26	0.173	0.152	309	444	333	123	127	282
chx_high		chr6:PSMG4:s:3263759|6:3263759-3264208:+	PSMG4	chr6:PSMG4:s:3263759	s	3263759	6:3263759-3264208:+	6	3263759	3264208	+	244.7	0.114		0.294	0.179	0.151		welch	0.09073748623107913	0.40774712711106514	1	0	0.07	0.113	0.15	0.164	0.34	0.357	285	293	366	159	144	221
chx_high		chr16:SRRM2:t:2757471|16:2756606-2757471:+	SRRM2	chr16:SRRM2:t:2757471	t	2757471	16:2756606-2757471:+	16	2756606	2757471	+	233.5	0.746		0.924	0.178	0.169		welch	0.009609541072029418	0.13745574624330004	1	0	0.799	0.714	0.737	0.9	0.945	0.918	194	255	217	201	289	245
chx_high		chr19:RPS9:t:54207397|19:54206724-54207397:+	RPS9	chr19:RPS9:t:54207397	t	54207397	19:54206724-54207397:+	19	54206724	54207397	+	2671.8	0.007		0.185	0.177	0.177		welch	0.007605965284317886	0.13579217745189653	1	0	0.007	0.01	0.004	0.157	0.179	0.211	2675	3863	3643	1831	1767	2252
chx_high		chr1:CDK11A:t:1705732|1:1705732-1707524:-	CDK11A	chr1:CDK11A:t:1705732	t	1705732	1:1705732-1707524:-	1	1705732	1707524	-	133.8	0.223		0.398	0.176	0.191		welch	0.37169151253178273	0.6396561662327643	0	0	0.51	0.111	0.143	0.444	0.359	0.4	49	81	63	169	206	235
chx_high		chr11:ARFIP2:s:6478737|11:6478652-6478737:-	ARFIP2	chr11:ARFIP2:s:6478737	s	6478737	11:6478652-6478737:-	11	6478652	6478737	-	102.5	0.051		0.224	0.173	0.21		welch	0.0280000547781428	0.2369859708758753	1	0	0.108	0.077	0.0	0.247	0.151	0.253	102	130	178	77	53	75
chx_high		chr19:DDX39A:s:14410988|19:14410605-14410988:-	DDX39A	chr19:DDX39A:s:14410988	s	14410988	19:14410605-14410988:-	19	14410605	14410988	-	249.2	0.031		0.201	0.17	0.166		welch	0.00582874281190904	0.13579217745189653	1	0	0.046	0.007	0.051	0.214	0.244	0.165	239	410	293	154	156	243
chx_high		chr20:PIGT:s:45420429|20:45420429-45420507:+	PIGT	chr20:PIGT:s:45420429	s	45420429	20:45420429-45420507:+	20	45420429	45420507	+	114.3	0.0		0.167	0.167	0.147		welch	0.12047519887360748	0.42642979452418506	1	0	0.0	0.0	0.0	0.289	0.231	0.049	153	135	140	38	117	103
chx_high		chr9:EDF1:s:136862905|9:136862345-136862905:-	EDF1	chr9:EDF1:s:136862905	s	136862905	9:136862345-136862905:-	9	136862345	136862905	-	526.5	0.477		0.643	0.166	0.146		welch	0.039967777157033126	0.2652407029512198	1	0	0.4	0.528	0.474	0.633	0.64	0.651	512	803	867	245	322	410
chx_high		chr16:INO80E:s:30001040|16:30001040-30001413:+	INO80E	chr16:INO80E:s:30001040	s	30001040	16:30001040-30001413:+	16	30001040	30001413	+	122.2	0.481		0.647	0.166	0.134		welch	0.13862038895795709	0.4599676542695849	0	0	0.4	0.631	0.388	0.719	0.638	0.597	120	157	147	96	94	119
chx_high		chr16:PSMB10:t:67934948|16:67934948-67935295:-	PSMB10	chr16:PSMB10:t:67934948	t	67934948	16:67934948-67935295:-	16	67934948	67935295	-	117.5	0.195		0.36	0.165	0.178		welch	0.019868901263477956	0.21458957830714925	1	0	0.183	0.21	0.195	0.384	0.305	0.388	191	143	118	73	82	98
chx_high		chr19:ENSG00000266953:s:34404815|19:34404815-34409160:+	ENSG00000266953	chr19:ENSG00000266953:s:34404815	s	34404815	19:34404815-34409160:+	19	34404815	34409160	+	133.7	0.0		0.164	0.164	0.18		welch	0.008663248777544963	0.13579217745189653	1	0	0.0	0.0	0.0	0.146	0.2	0.163	131	194	191	89	50	147
chx_high		chr5:NOP16:s:176385220|5:176384374-176385220:-	NOP16	chr5:NOP16:s:176385220	s	176385220	5:176384374-176385220:-	5	176384374	176385220	-	214.2	0.51		0.675	0.164	0.174		welch	0.016194706551072184	0.19836758437722735	1	0	0.567	0.492	0.485	0.737	0.678	0.628	210	321	231	156	149	218
chx_high		chr9:SURF2:t:133357710|9:133357182-133357710:+	SURF2	chr9:SURF2:t:133357710	t	133357710	9:133357182-133357710:+	9	133357182	133357710	+	121.7	0.099		0.261	0.162	0.108		welch	0.01704087308352768	0.2030993853220442	1	0	0.075	0.12	0.09	0.311	0.246	0.213	146	217	133	90	69	75
chx_high		chr16:ENSG00000280607:t:29810076|16:29809764-29810076:+	ENSG00000280607	chr16:ENSG00000280607:t:29810076	t	29810076	16:29809764-29810076:+	16	29809764	29810076	+	334.5	0.224		0.387	0.162	0.135		welch	0.042270795318371364	0.27213153835582365	1	0	0.235	0.225	0.217	0.446	0.396	0.323	349	489	517	204	222	226
chx_high		chr17:HOXB7:t:48608095|17:48608095-48610518:-	HOXB7	chr17:HOXB7:t:48608095	t	48608095	17:48608095-48610518:-	17	48608095	48610518	-	132.2	0.749		0.911	0.161	0.153		welch	0.05409401178861527	0.30455978366520414	1	0	0.736	0.68	0.833	0.944	0.872	0.907	125	128	126	160	125	129
chx_high		chr16:RNPS1:s:2268054|16:2264331-2268054:-	RNPS1	chr16:RNPS1:s:2268054	s	2268054	16:2264331-2268054:-	16	2264331	2268054	-	126.0	0.278		0.438	0.159	0.193		welch	0.0497701144879318	0.2906574686095223	1	0	0.182	0.296	0.333	0.514	0.36	0.479	148	196	195	37	86	94
chx_high		chr19:DMKN:s:35510183|19:35509961-35510183:-	DMKN	chr19:DMKN:s:35510183	s	35510183	19:35509961-35510183:-	19	35509961	35510183	-	318.0	0.262		0.422	0.159	0.124		welch	0.07587799632993408	0.36927291547234586	1	0	0.295	0.341	0.16	0.48	0.424	0.383	332	475	470	173	184	274
chx_high		chr16:EIF3C:s:28715434|16:28715434-28720914:+	EIF3C	chr16:EIF3C:s:28715434	s	28715434	16:28715434-28720914:+	16	28715434	28720914	+	197.2	0.041		0.198	0.158	0.181		welch	0.006004216369282761	0.13579217745189653	1	0	0.019	0.033	0.068	0.167	0.18	0.237	269	215	280	102	161	156
chx_high		chr22:CHCHD10:s:23767833|22:23767593-23767833:-	CHCHD10	chr22:CHCHD10:s:23767833	s	23767833	22:23767593-23767833:-	22	23767593	23767833	-	107.5	0.643		0.8	0.157	0.145		welch	0.02227657740065485	0.21731912261174915	1	0	0.616	0.586	0.703	0.833	0.759	0.81	73	157	185	72	79	79
chx_high		chr17:SCO1:s:10697234|17:10695834-10697234:-	SCO1	chr17:SCO1:s:10697234	s	10697234	17:10695834-10697234:-	17	10695834	10697234	-	173.0	0.018		0.175	0.157	0.163		welch	0.12788415828699318	0.43675057567019887	1	0	0.036	0.018	0.0	0.146	0.304	0.086	196	226	194	89	148	185
chx_high		chr4:OCIAD1:t:48832619|4:48831496-48832619:+	OCIAD1	chr4:OCIAD1:t:48832619	t	48832619	4:48831496-48832619:+	4	48831496	48832619	+	100.7	0.137		0.293	0.156	0.172		welch	0.16784426720630632	0.48706062555519536	0	0	0.055	0.098	0.282	0.255	0.273	0.333	109	153	103	47	99	93
chx_high		chr8:SNHG6:t:66922392|8:66922392-66922613:-	SNHG6	chr8:SNHG6:t:66922392	t	66922392	8:66922392-66922613:-	8	66922392	66922613	-	127.8	0.448		0.604	0.156	0.146		welch	0.2256267123390873	0.5322211658600459	0	0	0.6	0.452	0.319	0.741	0.495	0.6	115	230	144	85	103	90
chx_high		chr16:NUTF2:t:67865101|16:67847456-67865101:+	NUTF2	chr16:NUTF2:t:67865101	t	67865101	16:67847456-67865101:+	16	67847456	67865101	+	162.7	0.197		0.352	0.155	0.096		welch	0.007512461138342252	0.13579217745189653	1	0	0.163	0.173	0.238	0.347	0.383	0.315	203	202	290	72	120	89
chx_high		chr1:ENSG00000233461:s:231527337|1:231522637-231527337:-	ENSG00000233461	chr1:ENSG00000233461:s:231527337	s	231527337	1:231522637-231527337:-	1	231522637	231527337	-	121.0	0.794		0.949	0.155	0.114		welch	0.015008103270239565	0.19053765890912838	1	0	0.775	0.779	0.859	0.984	0.957	0.914	102	145	64	122	141	152
chx_high		chr19:PRKCSH:s:11447618|19:11447618-11447692:+	PRKCSH	chr19:PRKCSH:s:11447618	s	11447618	19:11447618-11447692:+	19	11447618	11447692	+	130.2	0.335		0.49	0.155	0.147		welch	0.20874734753046348	0.5140263429281569	0	0	0.292	0.297	0.401	0.344	0.45	0.611	96	209	182	61	120	113
chx_high		chr10:NPM3:s:101783272|10:101782597-101783272:-	NPM3	chr10:NPM3:s:101783272	s	101783272	10:101782597-101783272:-	10	101782597	101783272	-	317.7	0.16		0.312	0.152	0.156		welch	0.026551445215273112	0.23494006069271967	1	0	0.225	0.146	0.126	0.328	0.286	0.32	333	535	397	204	206	231
chx_high		chr11:ARFIP2:t:6478198|11:6478198-6478578:-	ARFIP2	chr11:ARFIP2:t:6478198	t	6478198	11:6478198-6478578:-	11	6478198	6478578	-	101.3	0.049		0.201	0.152	0.185		welch	0.029684157025242602	0.2428115645933954	1	0	0.108	0.07	0.0	0.205	0.167	0.222	102	129	178	73	54	72
chx_high		chr19:DMKN:t:35510252|19:35510252-35510378:-	DMKN	chr19:DMKN:t:35510252	t	35510252	19:35510252-35510378:-	19	35510252	35510378	-	127.7	0.366		0.518	0.151	0.174		welch	0.2081287861807652	0.5140263429281569	0	0	0.338	0.463	0.312	0.689	0.411	0.472	130	162	221	74	73	106
chx_high		chr9:HNRNPK:t:83978452|9:83978452-83980152:-	HNRNPK	chr9:HNRNPK:t:83978452	t	83978452	9:83978452-83980152:-	9	83978452	83980152	-	355.8	0.531		0.681	0.15	0.125		welch	0.05426788189613628	0.30455978366520414	1	0	0.493	0.541	0.548	0.758	0.65	0.621	410	678	551	186	157	153
chx_high		chr11:SF1:t:64765518|11:64765518-64765950:-	SF1	chr11:SF1:t:64765518	t	64765518	11:64765518-64765950:-	11	64765518	64765950	-	101.2	0.064		0.214	0.15	0.16		welch	0.08506787498806156	0.39117825978762166	1	0	0.0	0.015	0.153	0.156	0.174	0.314	84	130	131	90	86	86
chx_high		chr17:CENPX:s:82019857|17:82019694-82019857:-	CENPX	chr17:CENPX:s:82019857	s	82019857	17:82019694-82019857:-	17	82019694	82019857	-	105.7	0.28		0.428	0.148	0.084		welch	0.11106550198779046	0.42393629516908254	1	0	0.183	0.309	0.291	0.358	0.521	0.343	82	194	199	53	71	35
chx_high		chr11:MRPL23:s:1952855|11:1952855-1955610:+	MRPL23	chr11:MRPL23:s:1952855	s	1952855	11:1952855-1955610:+	11	1952855	1955610	+	192.0	0.023		0.17	0.147	0.125		welch	0.16459666168499812	0.4830374393167784	1	0	0.055	0.042	0.0	0.135	0.266	0.065	145	189	359	148	188	123
chx_high		chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	141.0	0.286		0.432	0.147	0.134		welch	0.21124370257321515	0.5140263429281569	1	0	0.273	0.32	0.256	0.347	0.58	0.342	121	181	160	95	143	146
chx_high		chr22:SMARCB1:t:23793558|22:23791867-23793558:+	SMARCB1	chr22:SMARCB1:t:23793558	t	23793558	22:23791867-23793558:+	22	23791867	23793558	+	101.2	0.526		0.672	0.146	0.117		welch	0.17007730018526052	0.48706062555519536	0	0	0.429	0.668	0.383	0.667	0.758	0.594	140	190	94	57	62	64
chx_high		chr18:NARS1:s:57621707|18:57620648-57621707:-	NARS1	chr18:NARS1:s:57621707	s	57621707	18:57620648-57621707:-	18	57620648	57621707	-	129.8	0.132		0.276	0.145	0.106		welch	0.02133906355712844	0.21731912261174915	1	0	0.185	0.092	0.152	0.308	0.26	0.258	124	260	178	78	73	66
