contrast	rank	gene	lsv	junction	condition	n_wells	psi	ci_lo	ci_hi	fragments_junction	fragments_lsv	per_well_psi
ris_low	3	GSPT1	chr16:GSPT1:s:11897839	16:11896782-11897839:-	Ris dose 25mM	3	0.299	0.247	0.356	85	284	0.220;0.095;0.429
ris_low	3	GSPT1	chr16:GSPT1:s:11897839	16:11896782-11897839:-	CHX dose 1ug/mL	3	0.147	0.115	0.185	62	421	0.170;0.201;0.038
ris_low	3	GSPT1	chr16:GSPT1:s:11897839	16:11896782-11897839:-	CHX dose 50ug/mL	3	0.226	0.18	0.278	67	296	0.172;0.203;0.281
ris_low	3	GSPT1	chr16:GSPT1:s:11897839	16:11896782-11897839:-	CADM1 1nM	3	0.11	0.079	0.147	39	355	0.037;0.051;0.212
ris_low	3	GSPT1	chr16:GSPT1:s:11897839	16:11896782-11897839:-	CADM1 100nM	3	0.178	0.142	0.218	73	411	0.165;0.240;0.075
ris_low	4	HUWE1	chrX:HUWE1:t:53542539	X:53542539-53543840:-	Hek control	3	0.555	0.498	0.612	171	308	0.620;0.556;0.512
ris_low	4	HUWE1	chrX:HUWE1:t:53542539	X:53542539-53543840:-	Ris dose 25mM	3	0.761	0.712	0.805	258	339	0.823;0.701;0.739
ris_low	4	HUWE1	chrX:HUWE1:t:53542539	X:53542539-53543840:-	CHX dose 1ug/mL	3	0.524	0.45	0.598	97	185	0.574;0.521;0.483
ris_low	4	HUWE1	chrX:HUWE1:t:53542539	X:53542539-53543840:-	CHX dose 50ug/mL	3	0.636	0.544	0.722	77	121	0.361;0.757;0.750
ris_low	4	HUWE1	chrX:HUWE1:t:53542539	X:53542539-53543840:-	CADM1 1nM	3	0.554	0.491	0.616	143	258	0.591;0.523;0.557
ris_low	4	HUWE1	chrX:HUWE1:t:53542539	X:53542539-53543840:-	CADM1 100nM	3	0.63	0.573	0.685	189	300	0.664;0.507;0.667
ris_low	5	OCIAD1	chr4:OCIAD1:t:48832619	4:48831496-48832619:+	Hek control	3	0.137	0.103	0.177	50	365	0.055;0.098;0.282
ris_low	5	OCIAD1	chr4:OCIAD1:t:48832619	4:48831496-48832619:+	Ris dose 25mM	3	0.317	0.261	0.377	83	262	0.423;0.452;0.172
ris_low	5	OCIAD1	chr4:OCIAD1:t:48832619	4:48831496-48832619:+	CHX dose 1ug/mL	3	0.246	0.197	0.3	70	285	0.298;0.264;0.141
ris_low	5	OCIAD1	chr4:OCIAD1:t:48832619	4:48831496-48832619:+	CHX dose 50ug/mL	3	0.293	0.236	0.355	70	239	0.255;0.273;0.333
ris_low	5	OCIAD1	chr4:OCIAD1:t:48832619	4:48831496-48832619:+	CADM1 1nM	3	0.175	0.14	0.215	72	411	0.150;0.097;0.319
ris_low	5	OCIAD1	chr4:OCIAD1:t:48832619	4:48831496-48832619:+	CADM1 100nM	3	0.152	0.119	0.188	67	442	0.125;0.149;0.167
ris_low	6	HIRIP3	chr16:HIRIP3:t:29993808	16:29993808-29995102:-	Hek control	3	0.31	0.264	0.359	120	387	0.317;0.261;0.362
ris_low	6	HIRIP3	chr16:HIRIP3:t:29993808	16:29993808-29995102:-	Ris dose 25mM	3	0.489	0.434	0.545	160	327	0.535;0.518;0.417
ris_low	6	HIRIP3	chr16:HIRIP3:t:29993808	16:29993808-29995102:-	CHX dose 1ug/mL	3	0.422	0.377	0.467	205	486	0.420;0.532;0.325
ris_low	6	HIRIP3	chr16:HIRIP3:t:29993808	16:29993808-29995102:-	CHX dose 50ug/mL	3	0.366	0.316	0.419	129	352	0.525;0.336;0.278
ris_low	6	HIRIP3	chr16:HIRIP3:t:29993808	16:29993808-29995102:-	CADM1 1nM	3	0.356	0.309	0.406	140	393	0.315;0.439;0.273
ris_low	6	HIRIP3	chr16:HIRIP3:t:29993808	16:29993808-29995102:-	CADM1 100nM	3	0.322	0.272	0.375	107	332	0.258;0.484;0.321
ris_low	7	CHCHD10	chr22:CHCHD10:s:23767833	22:23767593-23767833:-	Hek control	3	0.643	0.595	0.689	267	415	0.616;0.586;0.703
ris_low	7	CHCHD10	chr22:CHCHD10:s:23767833	22:23767593-23767833:-	Ris dose 25mM	3	0.81	0.769	0.846	341	421	0.825;0.783;0.814
ris_low	7	CHCHD10	chr22:CHCHD10:s:23767833	22:23767593-23767833:-	CHX dose 1ug/mL	3	0.813	0.749	0.867	148	182	0.704;0.891;0.746
ris_low	7	CHCHD10	chr22:CHCHD10:s:23767833	22:23767593-23767833:-	CHX dose 50ug/mL	3	0.8	0.742	0.85	184	230	0.833;0.759;0.810
ris_low	7	CHCHD10	chr22:CHCHD10:s:23767833	22:23767593-23767833:-	CADM1 1nM	3	0.697	0.648	0.743	265	380	0.649;0.725;0.733
ris_low	7	CHCHD10	chr22:CHCHD10:s:23767833	22:23767593-23767833:-	CADM1 100nM	3	0.751	0.704	0.795	275	366	0.746;0.757;0.752
ris_low	8	PYM1	chr12:PYM1:t:55903480	12:55903480-55927724:-	Hek control	3	0.75	0.702	0.793	276	368	0.637;0.849;0.712
ris_low	8	PYM1	chr12:PYM1:t:55903480	12:55903480-55927724:-	Ris dose 25mM	3	0.917	0.879	0.946	266	290	0.950;0.947;0.868
ris_low	8	PYM1	chr12:PYM1:t:55903480	12:55903480-55927724:-	CHX dose 1ug/mL	3	0.772	0.704	0.83	142	184	0.662;0.912;0.774
ris_low	8	PYM1	chr12:PYM1:t:55903480	12:55903480-55927724:-	CHX dose 50ug/mL	3	0.716	0.651	0.774	156	218	0.651;0.792;0.684
ris_low	8	PYM1	chr12:PYM1:t:55903480	12:55903480-55927724:-	CADM1 1nM	3	0.869	0.825	0.905	258	297	0.965;0.815;0.852
ris_low	8	PYM1	chr12:PYM1:t:55903480	12:55903480-55927724:-	CADM1 100nM	3	0.743	0.692	0.789	248	334	0.836;0.634;0.697
ris_low	9	MDH2	chr7:MDH2:s:76048226	7:76048226-76054829:+	Hek control	3	0.804	0.767	0.837	418	520	0.885;0.816;0.736
ris_low	9	MDH2	chr7:MDH2:s:76048226	7:76048226-76054829:+	Ris dose 25mM	3	0.969	0.945	0.984	340	351	0.979;0.947;0.970
ris_low	9	MDH2	chr7:MDH2:s:76048226	7:76048226-76054829:+	CHX dose 1ug/mL	3	0.916	0.882	0.943	327	357	0.867;0.925;0.959
