contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CADM1_100nM-1	psi_CADM1_100nM-2	psi_CADM1_100nM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CADM1_100nM-1	n_CADM1_100nM-2	n_CADM1_100nM-3
cadm1_high		chr12:NOP2:s:6566528|12:6566324-6566528:-	NOP2	chr12:NOP2:s:6566528	s	6566528	12:6566324-6566528:-	12	6566324	6566528	-	109.2	0.37		0.517	0.148	0.062		welch	0.15177861481493005	0.9655019792943904	1	0	0.385	0.38	0.342	0.479	0.653	0.429	135	92	111	121	98	98
cadm1_high		chr11:ANAPC15:t:72111286|11:72111286-72111411:-	ANAPC15	chr11:ANAPC15:t:72111286	t	72111286	11:72111286-72111411:-	11	72111286	72111411	-	174.3	0.627		0.774	0.147	0.084		welch	0.02855520565078057	0.7960703231862641	1	0	0.691	0.613	0.578	0.733	0.832	0.766	165	204	154	165	149	209
cadm1_high		chr8:RPL8:t:144791307|8:144791307-144791849:-	RPL8	chr8:RPL8:t:144791307	t	144791307	8:144791307-144791849:-	8	144791307	144791849	-	308.0	0.077		0.222	0.145	0.128		welch	0.10876833405946938	0.9655019792943904	1	0	0.108	0.053	0.085	0.126	0.222	0.306	260	492	519	182	189	206
cadm1_high		chr19:UBA52:t:18573292|19:18571887-18573292:+	UBA52	chr19:UBA52:t:18573292	t	18573292	19:18571887-18573292:+	19	18571887	18573292	+	167.3	0.398		0.538	0.14	0.182		welch	0.5062869598479379	0.9655019792943904	0	0	0.392	0.361	0.431	0.843	0.35	0.378	153	208	262	140	143	98
cadm1_high		chr19:USF2:t:35270446|19:35269699-35270446:+	USF2	chr19:USF2:t:35270446	t	35270446	19:35269699-35270446:+	19	35269699	35270446	+	189.7	0.464		0.604	0.14	0.082		welch	0.1559025795138128	0.9655019792943904	0	0	0.405	0.46	0.515	0.595	0.72	0.489	185	274	235	153	150	141
cadm1_high		chr19:LSM14A:s:34209051|19:34209051-34215123:+	LSM14A	chr19:LSM14A:s:34209051	s	34209051	19:34209051-34215123:+	19	34209051	34215123	+	160.7	0.599		0.735	0.137	0.068		welch	0.2300350100131046	0.9655019792943904	0	0	0.492	0.728	0.509	0.726	0.6	0.84	130	180	106	219	135	194
cadm1_high		chr10:CDC123:s:12246277|10:12246277-12250310:+	CDC123	chr10:CDC123:s:12246277	s	12246277	10:12246277-12250310:+	10	12246277	12250310	+	107.5	0.117		0.253	0.136	0.077		welch	0.0948673228880931	0.9655019792943904	0	0	0.058	0.216	0.026	0.26	0.315	0.204	69	111	77	123	108	157
cadm1_high		chr5:HNRNPH1:t:179623164|5:179623164-179623635:-	HNRNPH1	chr5:HNRNPH1:t:179623164	t	179623164	5:179623164-179623635:-	5	179623164	179623635	-	134.0	0.38		0.514	0.135	0.174		welch	0.37633626497375583	0.9655019792943904	0	0	0.506	0.438	0.26	0.676	0.543	0.348	77	130	146	139	151	161
cadm1_high		chr5:TAF9:t:69366595|5:69366595-69369462:-	TAF9	chr5:TAF9:t:69366595	t	69366595	5:69366595-69369462:-	5	69366595	69369462	-	151.8	0.777		0.911	0.134	0.055		welch	0.007816454961624789	0.7113287403644318	1	0	0.804	0.768	0.771	0.876	0.936	0.934	97	164	179	194	125	152
cadm1_high		chr5:MACROH2A1:t:135346057|5:135346057-135352945:-	MACROH2A1	chr5:MACROH2A1:t:135346057	t	135346057	5:135346057-135352945:-	5	135346057	135352945	-	102.3	0.782		0.913	0.131	0.086		welch	0.1593417867462887	0.9655019792943904	0	0	0.657	0.824	0.854	0.816	0.962	0.975	99	131	96	103	106	79
cadm1_high		chr1:NOC2L:t:944800|1:944800-945041:-	NOC2L	chr1:NOC2L:t:944800	t	944800	1:944800-945041:-	1	944800	945041	-	363.5	0.235		0.364	0.13	0.1		welch	0.043484881165355455	0.8945461268301698	1	0	0.284	0.193	0.246	0.31	0.422	0.363	243	420	475	368	353	322
cadm1_high		chrX:CITED1:t:72302934|X:72302934-72305824:-	CITED1	chrX:CITED1:t:72302934	t	72302934	X:72302934-72305824:-	X	72302934	72305824	-	250.3	0.189		0.319	0.13	0.103		welch	0.16061288400886906	0.9655019792943904	1	0	0.15	0.193	0.216	0.255	0.264	0.457	214	295	259	282	231	221
cadm1_high		chr9:NTMT1:s:129626295|9:129626295-129632649:+	NTMT1	chr9:NTMT1:s:129626295	s	129626295	9:129626295-129632649:+	9	129626295	129632649	+	105.5	0.75		0.879	0.129	0.1		welch	0.3258322072257934	0.9655019792943904	0	0	0.839	0.608	0.856	0.953	0.839	0.827	87	148	125	107	62	104
cadm1_high		chr19:ILF3:s:10683970|19:10683970-10684415:+	ILF3	chr19:ILF3:s:10683970	s	10683970	19:10683970-10684415:+	19	10683970	10684415	+	255.0	0.744		0.87	0.126	0.081		welch	0.05237521176008078	0.9427538116814541	1	0	0.663	0.779	0.768	0.841	0.837	0.932	199	272	259	328	209	263
cadm1_high		chr16:INO80E:s:30001040|16:30001040-30001413:+	INO80E	chr16:INO80E:s:30001040	s	30001040	16:30001040-30001413:+	16	30001040	30001413	+	125.8	0.481		0.607	0.126	0.102		welch	0.24481402366982377	0.9655019792943904	0	0	0.4	0.631	0.388	0.516	0.776	0.58	120	157	147	93	76	162
cadm1_high		chr8:CYRIB:s:129939607|8:129903350-129939607:-	CYRIB	chr8:CYRIB:s:129939607	s	129939607	8:129903350-129939607:-	8	129903350	129939607	-	157.3	0.319		0.444	0.125	0.116		welch	0.4540297341628223	0.9655019792943904	0	0	0.308	0.221	0.433	0.712	0.303	0.326	130	190	178	146	165	135
cadm1_high		chr4:PCGF3:t:733671|4:731110-733671:+	PCGF3	chr4:PCGF3:t:733671	t	733671	4:731110-733671:+	4	731110	733671	+	125.0	0.824		0.946	0.122	0.058		welch	0.2553237836449251	0.9655019792943904	0	0	0.569	0.943	0.811	0.946	0.939	0.956	72	176	185	112	115	90
cadm1_high		chr10:STK32C:t:132330485|10:132330485-132331481:-	STK32C	chr10:STK32C:t:132330485	t	132330485	10:132330485-132331481:-	10	132330485	132331481	-	178.7	0.212		0.333	0.121	0.09		welch	0.16399836202155418	0.9655019792943904	1	0	0.215	0.236	0.186	0.44	0.257	0.293	158	182	194	191	183	164
cadm1_high		chr5:CSNK1A1:t:149496860|5:149496860-149505446:-	CSNK1A1	chr5:CSNK1A1:t:149496860	t	149496860	5:149496860-149505446:-	5	149496860	149505446	-	171.3	0.585		0.705	0.12	0.13		welch	0.03244191561781015	0.8244063262878815	1	0	0.605	0.61	0.517	0.77	0.703	0.668	157	205	120	139	172	235
cadm1_high		chr4:PCGF3:s:731110|4:731110-733671:+	PCGF3	chr4:PCGF3:s:731110	s	731110	4:731110-733671:+	4	731110	733671	+	129.5	0.795		0.915	0.12	0.045		welch	0.2667049343146899	0.9655019792943904	0	0	0.569	0.943	0.746	0.876	0.939	0.935	72	176	201	121	115	92
cadm1_high		chr1:LINC02609:t:90832196|1:90832196-90837549:-	LINC02609	chr1:LINC02609:t:90832196	t	90832196	1:90832196-90837549:-	1	90832196	90837549	-	107.7	0.055		0.174	0.12	0.037		welch	0.15672199674384832	0.9655019792943904	0	0	0.058	0.0	0.108	0.227	0.062	0.231	86	87	83	141	128	121
cadm1_high		chr16:ATXN2L:s:28836122|16:28836122-28836750:+	ATXN2L	chr16:ATXN2L:s:28836122	s	28836122	16:28836122-28836750:+	16	28836122	28836750	+	120.0	0.168		0.287	0.119	0.084		welch	0.2000021555557942	0.9655019792943904	0	0	0.089	0.226	0.174	0.299	0.441	0.175	90	106	144	144	93	143
cadm1_high		chr7:GGCT:t:30498938|7:30498938-30504568:-	GGCT	chr7:GGCT:t:30498938	t	30498938	7:30498938-30504568:-	7	30498938	30504568	-	123.2	0.744		0.863	0.118	0.052		welch	0.05147795620256518	0.9427538116814541	1	0	0.676	0.775	0.778	0.831	0.925	0.844	139	111	176	124	93	96
cadm1_high		chr7:MDH2:s:76048226|7:76048226-76054829:+	MDH2	chr7:MDH2:s:76048226	s	76048226	7:76048226-76054829:+	7	76048226	76054829	+	168.8	0.804		0.919	0.115	0.092		welch	0.1399227048476216	0.9655019792943904	0	0	0.885	0.816	0.736	0.88	1.0	0.882	131	196	193	167	157	169
cadm1_high		chr12:C12orf57:t:6945770|12:6944652-6945770:+	C12orf57	chr12:C12orf57:t:6945770	t	6945770	12:6944652-6945770:+	12	6944652	6945770	+	117.3	0.718		0.832	0.114	0.105		welch	0.16037579510909772	0.9655019792943904	0	0	0.793	0.69	0.686	0.79	0.953	0.781	92	113	118	124	106	151
cadm1_high		chr1:POLR3GL:t:145977482|1:145977152-145977482:+	POLR3GL	chr1:POLR3GL:t:145977482	t	145977482	1:145977152-145977482:+	1	145977152	145977482	+	154.5	0.601		0.714	0.113	0.008		welch	0.22287056495303378	0.9655019792943904	0	0	0.543	0.537	0.727	0.757	0.686	0.684	175	164	165	169	102	152
cadm1_high		chr19:ERCC1:t:45413745|19:45413745-45414860:-	ERCC1	chr19:ERCC1:t:45413745	t	45413745	19:45413745-45414860:-	19	45413745	45414860	-	132.8	0.295		0.408	0.113	0.162		welch	0.25171085795521075	0.9655019792943904	0	0	0.264	0.158	0.434	0.421	0.328	0.5	87	158	175	152	131	94
cadm1_high		chr6:HDDC2:t:125292909|6:125292909-125298713:-	HDDC2	chr6:HDDC2:t:125292909	t	125292909	6:125292909-125298713:-	6	125292909	125298713	-	144.7	0.229		0.341	0.112	0.059		welch	0.241240349905957	0.9655019792943904	0	0	0.267	0.311	0.077	0.297	0.279	0.466	101	219	143	165	122	118
cadm1_high		chr19:RANBP3:t:5928087|19:5928087-5931403:-	RANBP3	chr19:RANBP3:t:5928087	t	5928087	19:5928087-5931403:-	19	5928087	5931403	-	159.7	0.507		0.618	0.111	0.082		welch	0.2798152830487248	0.9655019792943904	0	0	0.538	0.607	0.398	0.609	0.672	0.541	93	196	206	169	183	111
cadm1_high		chr16:INO80E:t:30005220|16:30001530-30005220:+	INO80E	chr16:INO80E:t:30005220	t	30005220	16:30001530-30005220:+	16	30001530	30005220	+	185.0	0.62		0.73	0.11	0.098		welch	0.30743638645992444	0.9655019792943904	0	0	0.353	0.697	0.672	0.648	0.895	0.665	116	195	299	145	152	203
cadm1_high		chr22:POLR3H:t:41532157|22:41532157-41532658:-	POLR3H	chr22:POLR3H:t:41532157	t	41532157	22:41532157-41532658:-	22	41532157	41532658	-	119.3	0.814		0.922	0.109	0.08		welch	0.20022859710883337	0.9655019792943904	0	0	0.856	0.904	0.733	0.875	0.936	0.963	90	115	176	112	141	82
cadm1_high		chrX:CCNQ:s:153592505|X:153588454-153592505:-	CCNQ	chrX:CCNQ:s:153592505	s	153592505	X:153588454-153592505:-	X	153588454	153592505	-	102.8	0.542		0.647	0.105	0.108		welch	0.4273670020369219	0.9655019792943904	0	0	0.722	0.531	0.445	0.656	0.782	0.545	72	143	119	93	78	112
cadm1_high		chr16:ZNF598:t:2001191|16:2001191-2001582:-	ZNF598	chr16:ZNF598:t:2001191	t	2001191	16:2001191-2001582:-	16	2001191	2001582	-	142.7	0.779		0.884	0.104	0.093		welch	0.2442441066746826	0.9655019792943904	0	0	0.616	0.903	0.766	0.932	0.962	0.801	86	144	291	147	52	136
cadm1_high		chr16:NUTF2:t:67865101|16:67846985-67865101:+	NUTF2	chr16:NUTF2:t:67865101	t	67865101	16:67846985-67865101:+	16	67846985	67865101	+	171.7	0.774		0.878	0.104	0.031		welch	0.21313617512247524	0.9655019792943904	0	0	0.773	0.807	0.752	0.772	0.887	0.953	203	202	290	101	106	128
cadm1_high		chr19:ERCC1:s:45414860|19:45413745-45414860:-	ERCC1	chr19:ERCC1:s:45414860	s	45414860	19:45413745-45414860:-	19	45413745	45414860	-	106.8	0.383		0.486	0.103	0.146		welch	0.34428812146807525	0.9655019792943904	0	0	0.383	0.207	0.531	0.496	0.394	0.595	60	121	143	129	109	79
cadm1_high		chr6:RNF8:s:37371574|6:37371574-37374619:+	RNF8	chr6:RNF8:s:37371574	s	37371574	6:37371574-37374619:+	6	37371574	37374619	+	182.2	0.793		0.897	0.103	0.063		welch	0.2645260324073139	0.9655019792943904	0	0	0.81	0.904	0.665	0.856	0.896	0.943	147	166	161	215	212	192
cadm1_high		chr2:MRPL33:s:27772692|2:27772692-27779432:+	MRPL33	chr2:MRPL33:s:27772692	s	27772692	2:27772692-27779432:+	2	27772692	27779432	+	116.0	0.546		0.648	0.102	0.156		welch	0.3447017091218438	0.9655019792943904	0	0	0.356	0.523	0.712	0.667	0.571	0.738	87	130	118	111	147	103
cadm1_high		chr12:TMEM106C:t:47964208|12:47963633-47964208:+	TMEM106C	chr12:TMEM106C:t:47964208	t	47964208	12:47963633-47964208:+	12	47963633	47964208	+	128.2	0.605		0.707	0.102	0.144		welch	0.21415494862080248	0.9655019792943904	0	0	0.496	0.701	0.608	0.761	0.67	0.687	133	147	148	117	109	115
cadm1_high		chr12:SFSWAP:t:131766117|12:131764686-131766117:+	SFSWAP	chr12:SFSWAP:t:131766117	t	131766117	12:131764686-131766117:+	12	131764686	131766117	+	179.7	0.693		0.795	0.102	0.127		welch	0.1702620873273752	0.9655019792943904	0	0	0.721	0.755	0.576	0.86	0.732	0.802	219	229	177	129	157	167
cadm1_high		chr7:GIGYF1:t:100681771|7:100681771-100681863:-	GIGYF1	chr7:GIGYF1:t:100681771	t	100681771	7:100681771-100681863:-	7	100681771	100681863	-	111.7	0.853		0.955	0.102	0.056		welch	0.19929393132343762	0.9655019792943904	1	0	0.868	0.691	0.914	0.954	0.98	0.918	114	81	186	130	98	61
cadm1_high		chr5:NOP16:s:176385220|5:176384374-176385220:-	NOP16	chr5:NOP16:s:176385220	s	176385220	5:176384374-176385220:-	5	176384374	176385220	-	261.5	0.51		0.611	0.1	0.127		welch	0.2481094319552688	0.9655019792943904	0	0	0.567	0.492	0.485	0.495	0.655	0.641	210	321	231	194	290	323
cadm1_high		chr14:DHRS4:s:23955212|14:23955212-23959901:+	DHRS4	chr14:DHRS4:s:23955212	s	23955212	14:23955212-23959901:+	14	23955212	23959901	+	104.8	0.832		0.931	0.099	0.062		welch	0.286454252752755	0.9655019792943904	0	0	0.942	0.83	0.77	1.0	0.859	0.923	86	135	148	91	78	91
cadm1_high		chr8:EEF1D:s:143597347|8:143586852-143597347:-	EEF1D	chr8:EEF1D:s:143597347	s	143597347	8:143586852-143597347:-	8	143586852	143597347	-	114.5	0.792		0.891	0.099	0.03		welch	0.50944717517683	0.9655019792943904	0	0	0.939	0.86	0.561	0.913	0.767	0.972	132	129	123	104	90	109
cadm1_high		chr14:HNRNPC:t:21234229|14:21234229-21263310:-	HNRNPC	chr14:HNRNPC:t:21234229	t	21234229	14:21234229-21263310:-	14	21234229	21263310	-	374.3	0.743		0.842	0.098	0.06		welch	0.10397209547134953	0.9655019792943904	1	0	0.7	0.809	0.674	0.853	0.846	0.824	213	470	307	354	521	381
cadm1_high		chr19:CLASRP:t:45068419|19:45068058-45068419:+	CLASRP	chr19:CLASRP:t:45068419	t	45068419	19:45068058-45068419:+	19	45068058	45068419	+	190.8	0.249		0.347	0.098	0.095		welch	0.17619625591035123	0.9655019792943904	1	0	0.284	0.282	0.205	0.461	0.335	0.286	176	202	292	115	185	175
cadm1_high		chr16:CARMIL2:s:67656645|16:67656645-67657238:+	CARMIL2	chr16:CARMIL2:s:67656645	s	67656645	16:67656645-67657238:+	16	67656645	67657238	+	178.5	0.794		0.891	0.097	0.075		welch	0.23235521824275523	0.9655019792943904	0	0	0.756	0.907	0.706	0.881	0.911	0.881	156	193	180	177	180	185
cadm1_high		chr7:DBNL:s:44058280|7:44058280-44058431:+	DBNL	chr7:DBNL:s:44058280	s	44058280	7:44058280-44058431:+	7	44058280	44058431	+	129.3	0.614		0.71	0.097	0.144		welch	0.4610911562368243	0.9655019792943904	0	0	0.708	0.718	0.444	0.617	0.788	0.723	113	117	135	133	137	141
cadm1_high		chr16:GSPT1:s:11897839|16:11896782-11897839:-	GSPT1	chr16:GSPT1:s:11897839	s	11897839	16:11896782-11897839:-	16	11896782	11897839	-	128.8	0.083		0.178	0.095	0.095		welch	0.26056719445347243	0.9655019792943904	0	0	0.029	0.048	0.158	0.165	0.24	0.075	105	124	133	109	196	106
cadm1_high		chr12:RPL6:t:112408656|12:112408656-112409586:-	RPL6	chr12:RPL6:t:112408656	t	112408656	12:112408656-112409586:-	12	112408656	112409586	-	963.3	0.325		0.421	0.095	0.103		welch	0.22334624740760642	0.9655019792943904	0	0	0.311	0.299	0.364	0.529	0.357	0.371	789	1026	989	1011	846	1119
cadm1_high		chr21:GET1:t:39390697|21:39387855-39390697:+	GET1	chr21:GET1:t:39390697	t	39390697	21:39387855-39390697:+	21	39387855	39390697	+	118.5	0.258		0.352	0.094	0.054		welch	0.10745482973059735	0.9655019792943904	1	0	0.138	0.266	0.293	0.404	0.303	0.358	65	154	188	104	119	81
cadm1_high		chr9:TMEM141:t:136791946|9:136791424-136791946:+	TMEM141	chr9:TMEM141:t:136791946	t	136791946	9:136791424-136791946:+	9	136791424	136791946	+	107.3	0.182		0.276	0.094	0.077		welch	0.4103909402101052	0.9655019792943904	0	0	0.292	0.067	0.228	0.319	0.177	0.32	65	119	145	69	96	150
cadm1_high		chr2:PPP1R7:s:241166441|2:241166441-241169780:+	PPP1R7	chr2:PPP1R7:s:241166441	s	241166441	2:241166441-241169780:+	2	241166441	241169780	+	159.8	0.214		0.307	0.093	0.082		welch	0.2888476180011378	0.9655019792943904	0	0	0.296	0.217	0.135	0.287	0.22	0.45	169	207	185	171	127	100
cadm1_high		chr16:CARMIL2:t:67657238|16:67656645-67657238:+	CARMIL2	chr16:CARMIL2:t:67657238	t	67657238	16:67656645-67657238:+	16	67656645	67657238	+	191.2	0.741		0.833	0.092	0.067		welch	0.26659201834755497	0.9655019792943904	0	0	0.694	0.862	0.655	0.897	0.863	0.755	170	203	194	174	190	216
cadm1_high		chr16:PSMB10:t:67934948|16:67934948-67935295:-	PSMB10	chr16:PSMB10:t:67934948	t	67934948	16:67934948-67935295:-	16	67934948	67935295	-	122.7	0.195		0.285	0.091	0.097		welch	0.4823155083476527	0.9655019792943904	0	0	0.183	0.21	0.195	0.11	0.299	0.394	191	143	118	73	107	104
cadm1_high		chr16:RPS15A:t:18789118|16:18789118-18790309:-	RPS15A	chr16:RPS15A:t:18789118	t	18789118	16:18789118-18790309:-	16	18789118	18790309	-	192.8	0.684		0.772	0.088	0.061		welch	0.5006434827190686	0.9655019792943904	0	0	0.774	0.688	0.628	0.793	0.623	0.861	133	269	234	174	146	201
cadm1_high		chr19:DNM2:t:10812263|19:10805967-10812263:+	DNM2	chr19:DNM2:t:10812263	t	10812263	19:10805967-10812263:+	19	10805967	10812263	+	115.7	0.79		0.878	0.088	0.096		welch	0.5190551241006375	0.9655019792943904	0	0	0.978	0.673	0.747	0.859	0.971	0.797	91	110	99	135	136	123
cadm1_high		chr7:HOTAIRM1:t:27099778|7:27099366-27099778:+	HOTAIRM1	chr7:HOTAIRM1:t:27099778	t	27099778	7:27099366-27099778:+	7	27099366	27099778	+	144.0	0.808		0.896	0.088	0.084		welch	0.271510262729655	0.9655019792943904	1	0	0.664	0.862	0.863	0.885	0.891	0.911	122	174	153	139	119	157
cadm1_high		chr4:TNIP2:s:2745445|4:2744945-2745445:-	TNIP2	chr4:TNIP2:s:2745445	s	2745445	4:2744945-2745445:-	4	2744945	2745445	-	108.7	0.896		0.982	0.087			welch	0.286459253744915	0.9655019792943904	0	0	0.763	0.964	0.937	1.0	1.0	0.935	93	112	111	116	128	92
cadm1_high		chr5:GRK6:t:177441734|5:177441053-177441734:+	GRK6	chr5:GRK6:t:177441734	t	177441734	5:177441053-177441734:+	5	177441053	177441734	+	104.3	0.368		0.454	0.086	0.029		welch	0.6268647201048282	0.9695427997180214	0	0	0.299	0.442	0.358	0.51	0.642	0.184	87	104	151	102	95	87
cadm1_high		chr19:PRKCSH:s:11447618|19:11447618-11447692:+	PRKCSH	chr19:PRKCSH:s:11447618	s	11447618	19:11447618-11447692:+	19	11447618	11447692	+	140.2	0.335		0.418	0.083	0.047		welch	0.3179914697207325	0.9655019792943904	0	0	0.292	0.297	0.401	0.287	0.479	0.493	96	209	182	122	96	136
cadm1_high		chr1:DNAJC8:s:28232920|1:28229023-28232920:-	DNAJC8	chr1:DNAJC8:s:28232920	s	28232920	1:28229023-28232920:-	1	28229023	28232920	-	174.2	0.841		0.923	0.082	0.068		welch	0.22475731367060067	0.9655019792943904	0	0	0.731	0.935	0.788	0.93	0.905	0.934	108	201	137	185	201	213
cadm1_high		chr8:SNHG6:t:66922392|8:66922392-66922613:-	SNHG6	chr8:SNHG6:t:66922392	t	66922392	8:66922392-66922613:-	8	66922392	66922613	-	165.8	0.448		0.53	0.082	0.094		welch	0.46742234089304313	0.9655019792943904	0	0	0.6	0.452	0.319	0.528	0.517	0.543	115	230	144	199	145	162
cadm1_high		chrX:EOLA2:t:149937480|X:149937480-149938141:-	EOLA2	chrX:EOLA2:t:149937480	t	149937480	X:149937480-149938141:-	X	149937480	149938141	-	120.0	0.168		0.25	0.082	0.151		welch	0.3413524575927139	0.9655019792943904	0	0	0.163	0.258	0.078	0.312	0.302	0.135	80	120	116	109	162	133
