contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit
chx_high	8	chr16:TMEM208:t:67228796|16:67228657-67228796:+	TMEM208	chr16:TMEM208:t:67228796	t	67228796	16:67228657-67228796:+	16	67228657	67228796	+	107.7	0.047		0.393	0.346	0.345		welch	0.16302512470761235	0.4830374393167784	1	0
chx_high	9	chr19:AKAP8:t:15368322|19:15368322-15369066:-	AKAP8	chr19:AKAP8:t:15368322	t	15368322	19:15368322-15369066:-	19	15368322	15369066	-	116.2	0.054		0.399	0.345	0.352		welch	0.006471603845421064	0.13579217745189653	1	0
chx_high	10	chr20:NOP56:t:2656400|20:2656034-2656400:+	NOP56	chr20:NOP56:t:2656400	t	2656400	20:2656034-2656400:+	20	2656034	2656400	+	126.3	0.28		0.622	0.342	0.426		welch	0.01172417840222477	0.15561182242952876	1	0
ris_low	1	chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	141.8	0.286		0.602	0.316	0.288		welch	0.0020821326774774257	0.4424531939639538	1	0
ris_low	2	chrX:NONO:t:71290628|X:71283721-71290628:+	NONO	chrX:NONO:t:71290628	t	71290628	X:71283721-71290628:+	X	71283721	71290628	+	101.8	0.151		0.386	0.235	0.271		welch	0.03156904333156143	0.9646329354635802	1	0
ris_low	3	chr16:GSPT1:s:11897839|16:11896782-11897839:-	GSPT1	chr16:GSPT1:s:11897839	s	11897839	16:11896782-11897839:-	16	11896782	11897839	-	107.7	0.083		0.299	0.216	0.157		welch	0.2163433730390324	0.9646329354635802	0	0
ris_low	4	chrX:HUWE1:t:53542539|X:53542539-53543840:-	HUWE1	chrX:HUWE1:t:53542539	t	53542539	X:53542539-53543840:-	X	53542539	53543840	-	107.8	0.555		0.761	0.206	0.12		welch	0.0163560393251352	0.9646329354635802	1	0
ris_low	5	chr4:OCIAD1:t:48832619|4:48831496-48832619:+	OCIAD1	chr4:OCIAD1:t:48832619	t	48832619	4:48831496-48832619:+	4	48831496	48832619	+	104.5	0.137		0.317	0.18	0.179		welch	0.14826233630367802	0.9646329354635802	0	0
ris_low	6	chr16:HIRIP3:t:29993808|16:29993808-29995102:-	HIRIP3	chr16:HIRIP3:t:29993808	t	29993808	16:29993808-29995102:-	16	29993808	29995102	-	119.0	0.31		0.489	0.179	0.19		welch	0.021447155294777143	0.9646329354635802	1	0
ris_low	7	chr22:CHCHD10:s:23767833|22:23767593-23767833:-	CHCHD10	chr22:CHCHD10:s:23767833	s	23767833	22:23767593-23767833:-	22	23767593	23767833	-	139.3	0.643		0.81	0.167	0.1		welch	0.027391364282247144	0.9646329354635802	1	0
ris_low	8	chr12:PYM1:t:55903480|12:55903480-55927724:-	PYM1	chr12:PYM1:t:55903480	t	55903480	12:55903480-55927724:-	12	55903480	55927724	-	109.7	0.75		0.917	0.167	0.191		welch	0.07539220600055305	0.9646329354635802	1	0
ris_low	9	chr7:MDH2:s:76048226|7:76048226-76054829:+	MDH2	chr7:MDH2:s:76048226	s	76048226	7:76048226-76054829:+	7	76048226	76054829	+	145.2	0.804		0.969	0.165	0.126		welch	0.06548325514043947	0.9646329354635802	1	0
ris_low	10	chr7:HOXA10:t:27172173|7:27172173-27179645:-	HOXA10	chr7:HOXA10:t:27172173	t	27172173	7:27172173-27179645:-	7	27172173	27179645	-	122.5	0.389		0.553	0.165	0.185		welch	0.06532234368103496	0.9646329354635802	1	0
cadm1_dose	1	chr16:TNRC6A:s:24729846|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:s:24729846	s	24729846	16:24729846-24750725:+	16	24729846	24750725	+	132.1	0.208	0.239	0.531	0.323	0.3	0.1488	ols_slope	0.01125797220457314	0.7924020313288396	1	0
cadm1_dose	2	chr1:POLR3GL:s:145975436|1:145975436-145977083:+	POLR3GL	chr1:POLR3GL:s:145975436	s	145975436	1:145975436-145977083:+	1	145975436	145977083	+	122.0	0.611	0.713	0.823	0.212	0.137	0.1114	ols_slope	0.0256338459709797	0.7924020313288396	1	0
cadm1_dose	3	chrX:MECP2:s:154097603|X:154092307-154097603:-	MECP2	chrX:MECP2:s:154097603	s	154097603	X:154092307-154097603:-	X	154092307	154097603	-	160.3	0.484	0.625	0.681	0.198	0.232	0.0952	ols_slope	0.03454332501296797	0.7924020313288396	1	0
cadm1_dose	4	chr16:MRPL28:t:370225|16:370225-370498:-	MRPL28	chr16:MRPL28:t:370225	t	370225	16:370225-370498:-	16	370225	370498	-	103.7	0.525	0.745	0.716	0.191	0.107	0.085	ols_slope	0.08725658798053883	0.8098539820805224	0	0
cadm1_dose	5	chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	152.1	0.286	0.48	0.474	0.188	0.173	0.0939	ols_slope	0.02112173413500544	0.7924020313288396	0	0
cadm1_dose	6	chr3:UQCC5:t:52540423|3:52536906-52540423:+	UQCC5	chr3:UQCC5:t:52540423	t	52540423	3:52536906-52540423:+	3	52536906	52540423	+	115.6	0.47	0.538	0.65	0.18	0.162	0.0927	ols_slope	0.14225519701069625	0.8098539820805224	1	0
cadm1_dose	7	chr3:CNBP:t:129171538|3:129171538-129171654:-	CNBP	chr3:CNBP:t:129171538	t	129171538	3:129171538-129171654:-	3	129171538	129171654	-	135.4	0.612	0.636	0.791	0.179	0.167	0.0899	ols_slope	0.01778094989725975	0.7924020313288396	1	0
cadm1_dose	8	chr1:NASP:s:45606591|1:45606591-45613168:+	NASP	chr1:NASP:s:45606591	s	45606591	1:45606591-45613168:+	1	45606591	45613168	+	132.1	0.616	0.633	0.791	0.176	0.091	0.0853	ols_slope	0.13045762435927163	0.8098539820805224	1	0
cadm1_dose	9	chr1:RPL22:t:6197756|1:6197756-6199561:-	RPL22	chr1:RPL22:t:6197756	t	6197756	1:6197756-6199561:-	1	6197756	6199561	-	297.0	0.775	0.88	0.949	0.174	0.138	0.0868	ols_slope	0.01785680182230578	0.7924020313288396	1	0
cadm1_dose	10	chr11:SF1:s:64766899|11:64766155-64766899:-	SF1	chr11:SF1:s:64766899	s	64766899	11:64766155-64766899:-	11	64766155	64766899	-	148.6	0.26	0.504	0.424	0.165	0.106	0.0802	ols_slope	0.10330501958128241	0.8098539820805224	0	0
cadm1_high	1	chr16:TNRC6A:s:24729846|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:s:24729846	s	24729846	16:24729846-24750725:+	16	24729846	24750725	+	126.3	0.208		0.531	0.323	0.3		welch	0.026597331923862856	0.7960703231862641	1	0
cadm1_high	2	chr1:POLR3GL:s:145975436|1:145975436-145977083:+	POLR3GL	chr1:POLR3GL:s:145975436	s	145975436	1:145975436-145977083:+	1	145975436	145977083	+	111.5	0.611		0.823	0.212	0.137		welch	0.09558489219752198	0.9655019792943904	0	0
cadm1_high	3	chrX:MECP2:s:154097603|X:154092307-154097603:-	MECP2	chrX:MECP2:s:154097603	s	154097603	X:154092307-154097603:-	X	154092307	154097603	-	160.0	0.484		0.681	0.198	0.232		welch	0.11560142149451204	0.9655019792943904	0	0
cadm1_high	4	chr16:MRPL28:t:370225|16:370225-370498:-	MRPL28	chr16:MRPL28:t:370225	t	370225	16:370225-370498:-	16	370225	370498	-	110.3	0.525		0.716	0.191	0.107		welch	0.027348651541997275	0.7960703231862641	1	0
cadm1_high	5	chr7:SRRT:s:100885040|7:100885040-100885215:+	SRRT	chr7:SRRT:s:100885040	s	100885040	7:100885040-100885215:+	7	100885040	100885215	+	165.7	0.286		0.474	0.188	0.173		welch	0.00841923168472128	0.7113287403644318	1	0
cadm1_high	6	chr3:UQCC5:t:52540423|3:52536906-52540423:+	UQCC5	chr3:UQCC5:t:52540423	t	52540423	3:52536906-52540423:+	3	52536906	52540423	+	114.8	0.47		0.65	0.18	0.162		welch	0.25634795469202876	0.9655019792943904	0	0
cadm1_high	7	chr3:CNBP:t:129171538|3:129171538-129171654:-	CNBP	chr3:CNBP:t:129171538	t	129171538	3:129171538-129171654:-	3	129171538	129171654	-	141.3	0.612		0.791	0.179	0.167		welch	0.029206494406907344	0.7960703231862641	1	0
cadm1_high	8	chr1:NASP:s:45606591|1:45606591-45613168:+	NASP	chr1:NASP:s:45606591	s	45606591	1:45606591-45613168:+	1	45606591	45613168	+	140.0	0.616		0.791	0.176	0.091		welch	0.03970362054105212	0.8945461268301698	1	0
cadm1_high	9	chr1:RPL22:t:6197756|1:6197756-6199561:-	RPL22	chr1:RPL22:t:6197756	t	6197756	1:6197756-6199561:-	1	6197756	6199561	-	303.7	0.775		0.949	0.174	0.138		welch	0.13255905482716712	0.9655019792943904	1	0
cadm1_high	10	chr11:SF1:s:64766899|11:64766155-64766899:-	SF1	chr11:SF1:s:64766899	s	64766899	11:64766155-64766899:-	11	64766155	64766899	-	143.2	0.26		0.424	0.165	0.106		welch	0.09934249448209524	0.9655019792943904	1	0
