contrast	rank	gene	hit	dpsi	padj	junction_id	lsv	lsv_members	ucsc_chrom	strand	junction_start_1based	junction_end	junction_position	lsv_start_1based	lsv_end	lsv_position	window_position	pad_bp
chx_high	4	SNRPA1	1	0.168	0.0165	chr15:SNRPA1:t:101285801|15:101285801-101286907:-	chr15:SNRPA1:t:101285801	2	chr15	-	101285802	101286907	chr15:101285802-101286907	101285802	101286907	chr15:101285802-101286907	chr15:101285302-101287407	500
chx_high	5	DEAF1	1	0.152	0.00905	chr11:DEAF1:t:644654|11:644654-646326:-	chr11:DEAF1:t:644654	4	chr11	-	644655	646326	chr11:644655-646326	644655	653961	chr11:644655-653961	chr11:642794-655822	1861
chx_high	6	DDX39A	1	0.147	0.0247	chr19:DDX39A:t:14410334|19:14410334-14410547:-	chr19:DDX39A:t:14410334	3	chr19	-	14410335	14410547	chr19:14410335-14410547	14410335	14410988	chr19:14410335-14410988	chr19:14409835-14411488	500
chx_high	7	RPL8	0	0.361	0.409	chr8:RPL8:t:144791307|8:144791307-144791849:-	chr8:RPL8:t:144791307	2	chr8	-	144791308	144791849	chr8:144791308-144791849	144791308	144791849	chr8:144791308-144791849	chr8:144790808-144792349	500
chx_high	8	TMEM208	0	0.346	0.483	chr16:TMEM208:t:67228796|16:67228657-67228796:+	chr16:TMEM208:t:67228796	2	chr16	+	67228658	67228796	chr16:67228658-67228796	67228632	67228796	chr16:67228632-67228796	chr16:67228132-67229296	500
chx_high	9	AKAP8	0	0.345	0.136	chr19:AKAP8:t:15368322|19:15368322-15369066:-	chr19:AKAP8:t:15368322	2	chr19	-	15368323	15369066	chr19:15368323-15369066	15368323	15370145	chr19:15368323-15370145	chr19:15367823-15370645	500
chx_high	10	NOP56	0	0.342	0.156	chr20:NOP56:t:2656400|20:2656034-2656400:+	chr20:NOP56:t:2656400	3	chr20	+	2656035	2656400	chr20:2656035-2656400	2655543	2656400	chr20:2655543-2656400	chr20:2655043-2656900	500
ris_low	1	SRRT	0	0.316	0.442	chr7:SRRT:s:100885040|7:100885040-100885215:+	chr7:SRRT:s:100885040	2	chr7	+	100885041	100885215	chr7:100885041-100885215	100885041	100885215	chr7:100885041-100885215	chr7:100884541-100885715	500
ris_low	2	NONO	0	0.235	0.965	chrX:NONO:t:71290628|X:71283721-71290628:+	chrX:NONO:t:71290628	3	chrX	+	71283722	71290628	chrX:71283722-71290628	71283722	71290628	chrX:71283722-71290628	chrX:71282341-71292009	1381
ris_low	3	GSPT1	0	0.216	0.965	chr16:GSPT1:s:11897839|16:11896782-11897839:-	chr16:GSPT1:s:11897839	2	chr16	-	11896783	11897839	chr16:11896783-11897839	11896783	11897839	chr16:11896783-11897839	chr16:11896283-11898339	500
ris_low	4	HUWE1	0	0.206	0.965	chrX:HUWE1:t:53542539|X:53542539-53543840:-	chrX:HUWE1:t:53542539	3	chrX	-	53542540	53543840	chrX:53542540-53543840	53542540	53545028	chrX:53542540-53545028	chrX:53542040-53545528	500
ris_low	5	OCIAD1	0	0.18	0.965	chr4:OCIAD1:t:48832619|4:48831496-48832619:+	chr4:OCIAD1:t:48832619	7	chr4	+	48831497	48832619	chr4:48831497-48832619	48831142	48832619	chr4:48831142-48832619	chr4:48830642-48833119	500
ris_low	6	HIRIP3	0	0.179	0.965	chr16:HIRIP3:t:29993808|16:29993808-29995102:-	chr16:HIRIP3:t:29993808	3	chr16	-	29993809	29995102	chr16:29993809-29995102	29993809	29995102	chr16:29993809-29995102	chr16:29993309-29995602	500
ris_low	7	CHCHD10	0	0.167	0.965	chr22:CHCHD10:s:23767833|22:23767593-23767833:-	chr22:CHCHD10:s:23767833	4	chr22	-	23767594	23767833	chr22:23767594-23767833	23765980	23767833	chr22:23765980-23767833	chr22:23765480-23768333	500
ris_low	8	PYM1	0	0.167	0.965	chr12:PYM1:t:55903480|12:55903480-55927724:-	chr12:PYM1:t:55903480	3	chr12	-	55903481	55927724	chr12:55903481-55927724	55903481	55927724	chr12:55903481-55927724	chr12:55898633-55932572	4848
ris_low	9	MDH2	0	0.165	0.965	chr7:MDH2:s:76048226|7:76048226-76054829:+	chr7:MDH2:s:76048226	3	chr7	+	76048227	76054829	chr7:76048227-76054829	76048227	76057409	chr7:76048227-76057409	chr7:76046391-76059245	1836
ris_low	10	HOXA10	0	0.165	0.965	chr7:HOXA10:t:27172173|7:27172173-27179645:-	chr7:HOXA10:t:27172173	3	chr7	-	27172174	27179645	chr7:27172174-27179645	27172174	27179645	chr7:27172174-27179645	chr7:27170680-27181139	1494
cadm1_dose	1	TNRC6A	0	0.323	0.792	chr16:TNRC6A:s:24729846|16:24729846-24750725:+	chr16:TNRC6A:s:24729846	4	chr16	+	24729847	24750725	chr16:24729847-24750725	24729847	24750733	chr16:24729847-24750733	chr16:24725670-24754910	4177
cadm1_dose	2	POLR3GL	0	0.212	0.792	chr1:POLR3GL:s:145975436|1:145975436-145977083:+	chr1:POLR3GL:s:145975436	2	chr1	+	145975437	145977083	chr1:145975437-145977083	145975437	145977482	chr1:145975437-145977482	chr1:145974937-145977982	500
cadm1_dose	3	MECP2	0	0.198	0.792	chrX:MECP2:s:154097603|X:154092307-154097603:-	chrX:MECP2:s:154097603	2	chrX	-	154092308	154097603	chrX:154092308-154097603	154032558	154097603	chrX:154032558-154097603	chrX:154019549-154110612	13009
cadm1_dose	4	MRPL28	0	0.191	0.81	chr16:MRPL28:t:370225|16:370225-370498:-	chr16:MRPL28:t:370225	3	chr16	-	370226	370498	chr16:370226-370498	370226	370498	chr16:370226-370498	chr16:369726-370998	500
cadm1_dose	5	SRRT	0	0.188	0.792	chr7:SRRT:s:100885040|7:100885040-100885215:+	chr7:SRRT:s:100885040	2	chr7	+	100885041	100885215	chr7:100885041-100885215	100885041	100885215	chr7:100885041-100885215	chr7:100884541-100885715	500
cadm1_dose	6	UQCC5	0	0.18	0.81	chr3:UQCC5:t:52540423|3:52536906-52540423:+	chr3:UQCC5:t:52540423	3	chr3	+	52536907	52540423	chr3:52536907-52540423	52534878	52540423	chr3:52534878-52540423	chr3:52533769-52541532	1109
cadm1_dose	7	CNBP	0	0.179	0.792	chr3:CNBP:t:129171538|3:129171538-129171654:-	chr3:CNBP:t:129171538	3	chr3	-	129171539	129171654	chr3:129171539-129171654	129171539	129171654	chr3:129171539-129171654	chr3:129171039-129172154	500
cadm1_dose	8	NASP	0	0.176	0.81	chr1:NASP:s:45606591|1:45606591-45613168:+	chr1:NASP:s:45606591	2	chr1	+	45606592	45613168	chr1:45606592-45613168	45606592	45613168	chr1:45606592-45613168	chr1:45605277-45614483	1315
cadm1_dose	9	RPL22	0	0.174	0.792	chr1:RPL22:t:6197756|1:6197756-6199561:-	chr1:RPL22:t:6197756	4	chr1	-	6197757	6199561	chr1:6197757-6199561	6197757	6199561	chr1:6197757-6199561	chr1:6197257-6200061	500
cadm1_dose	10	SF1	0	0.165	0.81	chr11:SF1:s:64766899|11:64766155-64766899:-	chr11:SF1:s:64766899	2	chr11	-	64766156	64766899	chr11:64766156-64766899	64765519	64766899	chr11:64765519-64766899	chr11:64765019-64767399	500
cadm1_high	1	TNRC6A	0	0.323	0.796	chr16:TNRC6A:s:24729846|16:24729846-24750725:+	chr16:TNRC6A:s:24729846	4	chr16	+	24729847	24750725	chr16:24729847-24750725	24729847	24750733	chr16:24729847-24750733	chr16:24725670-24754910	4177
cadm1_high	2	POLR3GL	0	0.212	0.966	chr1:POLR3GL:s:145975436|1:145975436-145977083:+	chr1:POLR3GL:s:145975436	2	chr1	+	145975437	145977083	chr1:145975437-145977083	145975437	145977482	chr1:145975437-145977482	chr1:145974937-145977982	500
cadm1_high	3	MECP2	0	0.198	0.966	chrX:MECP2:s:154097603|X:154092307-154097603:-	chrX:MECP2:s:154097603	2	chrX	-	154092308	154097603	chrX:154092308-154097603	154032558	154097603	chrX:154032558-154097603	chrX:154019549-154110612	13009
cadm1_high	4	MRPL28	0	0.191	0.796	chr16:MRPL28:t:370225|16:370225-370498:-	chr16:MRPL28:t:370225	3	chr16	-	370226	370498	chr16:370226-370498	370226	370498	chr16:370226-370498	chr16:369726-370998	500
cadm1_high	5	SRRT	0	0.188	0.711	chr7:SRRT:s:100885040|7:100885040-100885215:+	chr7:SRRT:s:100885040	2	chr7	+	100885041	100885215	chr7:100885041-100885215	100885041	100885215	chr7:100885041-100885215	chr7:100884541-100885715	500
cadm1_high	6	UQCC5	0	0.18	0.966	chr3:UQCC5:t:52540423|3:52536906-52540423:+	chr3:UQCC5:t:52540423	3	chr3	+	52536907	52540423	chr3:52536907-52540423	52534878	52540423	chr3:52534878-52540423	chr3:52533769-52541532	1109
cadm1_high	7	CNBP	0	0.179	0.796	chr3:CNBP:t:129171538|3:129171538-129171654:-	chr3:CNBP:t:129171538	3	chr3	-	129171539	129171654	chr3:129171539-129171654	129171539	129171654	chr3:129171539-129171654	chr3:129171039-129172154	500
cadm1_high	8	NASP	0	0.176	0.895	chr1:NASP:s:45606591|1:45606591-45613168:+	chr1:NASP:s:45606591	2	chr1	+	45606592	45613168	chr1:45606592-45613168	45606592	45613168	chr1:45606592-45613168	chr1:45605277-45614483	1315
cadm1_high	9	RPL22	0	0.174	0.966	chr1:RPL22:t:6197756|1:6197756-6199561:-	chr1:RPL22:t:6197756	4	chr1	-	6197757	6199561	chr1:6197757-6199561	6197757	6199561	chr1:6197757-6199561	chr1:6197257-6200061	500
cadm1_high	10	SF1	0	0.165	0.966	chr11:SF1:s:64766899|11:64766155-64766899:-	chr11:SF1:s:64766899	2	chr11	-	64766156	64766899	chr11:64766156-64766899	64765519	64766899	chr11:64765519-64766899	chr11:64765019-64767399	500
