contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_CADM1_1nM-1	psi_CADM1_1nM-2	psi_CADM1_1nM-3	psi_CADM1_100nM-1	psi_CADM1_100nM-2	psi_CADM1_100nM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_CADM1_1nM-1	n_CADM1_1nM-2	n_CADM1_1nM-3	n_CADM1_100nM-1	n_CADM1_100nM-2	n_CADM1_100nM-3
cadm1_dose		chr16:TNRC6A:t:24750725|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:t:24750725	t	24750725	16:24729846-24750725:+	16	24729846	24750725	+	124.4	0.224	0.262	0.542	0.318	0.297	0.163	ols_slope	0.005160636899728927	0.7924020313288396	1	0	0.337	0.176	0.165	0.284	0.278	0.21	0.609	0.461	0.586	92	85	109	162	126	105	192	191	58
cadm1_dose		chr17:NARF:t:82483715|17:82483304-82483715:+	NARF	chr17:NARF:t:82483715	t	82483715	17:82483304-82483715:+	17	82483304	82483715	+	117.8	0.169	0.288	0.333	0.164	0.185	0.0814	ols_slope	0.06789825624545862	0.8098539820805224	1	0	0.254	0.154	0.119	0.41	0.287	0.165	0.338	0.243	0.434	118	104	168	122	136	121	77	115	99
cadm1_dose		chr12:TROAP:s:49324037|12:49324037-49324230:+	TROAP	chr12:TROAP:s:49324037	s	49324037	12:49324037-49324230:+	12	49324037	49324230	+	122.3	0.503	0.594	0.664	0.16	0.154	0.0789	ols_slope	0.013727325176400748	0.7924020313288396	1	0	0.455	0.493	0.562	0.509	0.692	0.57	0.66	0.64	0.684	110	217	128	110	117	86	97	100	136
cadm1_dose		chrX:MECP2:t:154032557|X:154032557-154092183:-	MECP2	chrX:MECP2:t:154032557	t	154032557	X:154032557-154092183:-	X	154032557	154092183	-	169.4	0.482	0.572	0.642	0.16	0.187	0.0814	ols_slope	0.07767511001261318	0.8098539820805224	1	0	0.383	0.639	0.395	0.513	0.528	0.654	0.61	0.719	0.577	115	183	200	117	197	188	210	192	123
cadm1_dose		chr9:ENTR1:s:136410089|9:136407938-136410089:-	ENTR1	chr9:ENTR1:s:136410089	s	136410089	9:136407938-136410089:-	9	136407938	136410089	-	103.9	0.628	0.728	0.786	0.158	0.095	0.1011	ols_slope	0.09312698085656075	0.8098539820805224	1	0	0.747	0.359	0.675	0.655	0.847	0.685	0.756	0.783	0.85	99	64	114	139	118	92	160	69	80
cadm1_dose		chr9:NTMT1:t:129634053|9:129632865-129634053:+	NTMT1	chr9:NTMT1:t:129634053	t	129634053	9:129632865-129634053:+	9	129632865	129634053	+	110.7	0.641	0.804	0.796	0.155	0.121	0.0648	ols_slope	0.24534167288784747	0.8520392980911292	0	0	0.829	0.482	0.693	0.719	0.959	0.747	0.838	0.778	0.776	111	164	101	121	98	87	99	72	143
cadm1_dose		chr19:TCF3:s:1615685|19:1612433-1615685:-	TCF3	chr19:TCF3:s:1615685	s	1615685	19:1612433-1615685:-	19	1612433	1615685	-	187.0	0.442	0.489	0.594	0.152	0.125	0.0818	ols_slope	0.05902920557483599	0.8098539820805224	1	0	0.279	0.55	0.446	0.431	0.478	0.592	0.641	0.559	0.566	179	258	233	188	178	125	209	177	136
cadm1_dose		chr12:NOP2:s:6566528|12:6566324-6566528:-	NOP2	chr12:NOP2:s:6566528	s	6566528	12:6566324-6566528:-	12	6566324	6566528	-	111.4	0.37	0.557	0.517	0.148	0.062	0.0755	ols_slope	0.11017120658714362	0.8098539820805224	0	0	0.385	0.38	0.342	0.66	0.536	0.482	0.479	0.653	0.429	135	92	111	97	168	83	121	98	98
cadm1_dose		chr11:ANAPC15:t:72111286|11:72111286-72111411:-	ANAPC15	chr11:ANAPC15:t:72111286	t	72111286	11:72111286-72111411:-	11	72111286	72111411	-	165.7	0.627	0.694	0.774	0.147	0.084	0.0749	ols_slope	0.07174253531930917	0.8098539820805224	1	0	0.691	0.613	0.578	0.676	0.843	0.56	0.733	0.832	0.766	165	204	154	142	153	150	165	149	209
cadm1_dose		chr8:RPL8:t:144791307|8:144791307-144791849:-	RPL8	chr8:RPL8:t:144791307	t	144791307	8:144791307-144791849:-	8	144791307	144791849	-	275.7	0.077	0.215	0.222	0.145	0.128	0.0682	ols_slope	0.0340546401375027	0.7924020313288396	1	0	0.108	0.053	0.085	0.209	0.199	0.247	0.126	0.222	0.306	260	492	519	234	241	158	182	189	206
cadm1_dose		chr19:USF2:t:35270446|19:35269699-35270446:+	USF2	chr19:USF2:t:35270446	t	35270446	19:35269699-35270446:+	19	35269699	35270446	+	176.9	0.464	0.452	0.604	0.14	0.082	0.0707	ols_slope	0.15368901415202807	0.8098539820805224	0	0	0.405	0.46	0.515	0.294	0.525	0.523	0.595	0.72	0.489	185	274	235	143	179	132	153	150	141
cadm1_dose		chr19:UBA52:t:18573292|19:18571887-18573292:+	UBA52	chr19:UBA52:t:18573292	t	18573292	19:18571887-18573292:+	19	18571887	18573292	+	167.3	0.398	0.5	0.538	0.14	0.182	0.0643	ols_slope	0.3328067553385803	0.9150517798418184	1	0	0.392	0.361	0.431	0.528	0.474	0.493	0.843	0.35	0.378	153	208	262	193	175	134	140	143	98
cadm1_dose		chr19:LSM14A:s:34209051|19:34209051-34215123:+	LSM14A	chr19:LSM14A:s:34209051	s	34209051	19:34209051-34215123:+	19	34209051	34215123	+	147.4	0.599	0.691	0.735	0.137	0.068	0.0728	ols_slope	0.13583479552079836	0.8098539820805224	1	0	0.492	0.728	0.509	0.738	0.583	0.709	0.726	0.6	0.84	130	180	106	145	84	134	219	135	194
cadm1_dose		chr10:CDC123:s:12246277|10:12246277-12250310:+	CDC123	chr10:CDC123:s:12246277	s	12246277	10:12246277-12250310:+	10	12246277	12250310	+	104.2	0.117	0.14	0.253	0.136	0.077	0.0798	ols_slope	0.04817026257800539	0.8098539820805224	1	0	0.058	0.216	0.026	0.176	0.17	0.029	0.26	0.315	0.204	69	111	77	136	88	69	123	108	157
cadm1_dose		chr5:HNRNPH1:t:179623164|5:179623164-179623635:-	HNRNPH1	chr5:HNRNPH1:t:179623164	t	179623164	5:179623164-179623635:-	5	179623164	179623635	-	128.6	0.38	0.431	0.514	0.135	0.174	0.0603	ols_slope	0.2401722954442123	0.8520392980911292	1	0	0.506	0.438	0.26	0.384	0.442	0.475	0.676	0.543	0.348	77	130	146	138	95	120	139	151	161
cadm1_dose		chr5:TAF9:t:69366595|5:69366595-69369462:-	TAF9	chr5:TAF9:t:69366595	t	69366595	5:69366595-69369462:-	5	69366595	69369462	-	158.8	0.777	0.836	0.911	0.134	0.055	0.0672	ols_slope	0.015756688592568933	0.7924020313288396	1	0	0.804	0.768	0.771	0.856	0.879	0.723	0.876	0.936	0.934	97	164	179	208	198	112	194	125	152
cadm1_dose		chrX:CITED1:t:72302934|X:72302934-72305824:-	CITED1	chrX:CITED1:t:72302934	t	72302934	X:72302934-72305824:-	X	72302934	72305824	-	236.0	0.189	0.244	0.319	0.13	0.103	0.0696	ols_slope	0.03891259975275552	0.7924020313288396	1	0	0.15	0.193	0.216	0.207	0.287	0.245	0.255	0.264	0.457	214	295	259	193	164	265	282	231	221
cadm1_dose		chr9:NTMT1:s:129626295|9:129626295-129632649:+	NTMT1	chr9:NTMT1:s:129626295	s	129626295	9:129626295-129632649:+	9	129626295	129632649	+	106.4	0.75	0.874	0.879	0.129	0.1	0.0526	ols_slope	0.22610421989401933	0.8520392980911292	1	0	0.839	0.608	0.856	0.858	0.963	0.827	0.953	0.839	0.827	87	148	125	134	81	110	107	62	104
cadm1_dose		chr16:INO80E:s:30001040|16:30001040-30001413:+	INO80E	chr16:INO80E:s:30001040	s	30001040	16:30001040-30001413:+	16	30001040	30001413	+	122.9	0.481	0.447	0.607	0.126	0.102	0.0757	ols_slope	0.1593113609224961	0.8098539820805224	0	0	0.4	0.631	0.388	0.392	0.487	0.494	0.516	0.776	0.58	120	157	147	153	119	79	93	76	162
cadm1_dose		chr8:CYRIB:s:129939607|8:129903350-129939607:-	CYRIB	chr8:CYRIB:s:129939607	s	129939607	8:129903350-129939607:-	8	129903350	129939607	-	148.7	0.319	0.368	0.444	0.125	0.116	0.0633	ols_slope	0.3249507631573435	0.9150517798418184	1	0	0.308	0.221	0.433	0.292	0.396	0.5	0.712	0.303	0.326	130	190	178	178	144	72	146	165	135
cadm1_dose		chr4:PCGF3:t:733671|4:731110-733671:+	PCGF3	chr4:PCGF3:t:733671	t	733671	4:731110-733671:+	4	731110	733671	+	123.7	0.824	0.848	0.946	0.122	0.058	0.0863	ols_slope	0.11264601227655557	0.8098539820805224	1	0	0.569	0.943	0.811	0.866	0.937	0.728	0.946	0.939	0.956	72	176	185	149	111	103	112	115	90
cadm1_dose		chr10:STK32C:t:132330485|10:132330485-132331481:-	STK32C	chr10:STK32C:t:132330485	t	132330485	10:132330485-132331481:-	10	132330485	132331481	-	182.7	0.212	0.302	0.333	0.121	0.09	0.0587	ols_slope	0.12401660758752722	0.8098539820805224	1	0	0.215	0.236	0.186	0.19	0.401	0.345	0.44	0.257	0.293	158	182	194	210	142	220	191	183	164
cadm1_dose		chr4:PCGF3:s:731110|4:731110-733671:+	PCGF3	chr4:PCGF3:s:731110	s	731110	4:731110-733671:+	4	731110	733671	+	127.4	0.795	0.832	0.915	0.12	0.045	0.0818	ols_slope	0.15292819969084387	0.8098539820805224	1	0	0.569	0.943	0.746	0.872	0.937	0.676	0.876	0.939	0.935	72	176	201	148	111	111	121	115	92
cadm1_dose		chr1:LINC02609:t:90832196|1:90832196-90837549:-	LINC02609	chr1:LINC02609:t:90832196	t	90832196	1:90832196-90837549:-	1	90832196	90837549	-	110.4	0.055	0.052	0.174	0.12	0.037	0.059	ols_slope	0.0757304045535605	0.8098539820805224	0	0	0.058	0.0	0.108	0.033	0.042	0.078	0.227	0.062	0.231	86	87	83	123	96	129	141	128	121
cadm1_dose		chr5:CSNK1A1:t:149496860|5:149496860-149505446:-	CSNK1A1	chr5:CSNK1A1:t:149496860	t	149496860	5:149496860-149505446:-	5	149496860	149505446	-	167.8	0.585	0.656	0.705	0.12	0.13	0.0683	ols_slope	0.14045143957981848	0.8098539820805224	1	0	0.605	0.61	0.517	0.645	0.875	0.549	0.77	0.703	0.668	157	205	120	183	104	195	139	172	235
cadm1_dose		chr16:ATXN2L:s:28836122|16:28836122-28836750:+	ATXN2L	chr16:ATXN2L:s:28836122	s	28836122	16:28836122-28836750:+	16	28836122	28836750	+	109.1	0.168	0.168	0.287	0.119	0.084	0.0709	ols_slope	0.11500126513667726	0.8098539820805224	1	0	0.089	0.226	0.174	0.223	0.091	0.161	0.299	0.441	0.175	90	106	144	103	66	93	144	93	143
cadm1_dose		chr7:GGCT:t:30498938|7:30498938-30504568:-	GGCT	chr7:GGCT:t:30498938	t	30498938	7:30498938-30504568:-	7	30498938	30504568	-	121.2	0.744	0.849	0.863	0.118	0.052	0.0616	ols_slope	0.03720849474510485	0.7924020313288396	1	0	0.676	0.775	0.778	0.914	0.773	0.823	0.831	0.925	0.844	139	111	176	163	110	79	124	93	96
cadm1_dose		chr7:MDH2:s:76048226|7:76048226-76054829:+	MDH2	chr7:MDH2:s:76048226	s	76048226	7:76048226-76054829:+	7	76048226	76054829	+	164.8	0.804	0.874	0.919	0.115	0.092	0.0541	ols_slope	0.10349052770998751	0.8098539820805224	1	0	0.885	0.816	0.736	0.804	0.884	0.969	0.88	1.0	0.882	131	196	193	194	146	130	167	157	169
cadm1_dose		chr12:C12orf57:t:6945770|12:6944652-6945770:+	C12orf57	chr12:C12orf57:t:6945770	t	6945770	12:6944652-6945770:+	12	6944652	6945770	+	110.4	0.718	0.779	0.832	0.114	0.105	0.0591	ols_slope	0.2447884771537365	0.8520392980911292	1	0	0.793	0.69	0.686	0.63	0.988	0.789	0.79	0.953	0.781	92	113	118	119	81	90	124	106	151
cadm1_dose		chr1:POLR3GL:t:145977482|1:145977152-145977482:+	POLR3GL	chr1:POLR3GL:t:145977482	t	145977482	1:145977152-145977482:+	1	145977152	145977482	+	162.3	0.601	0.631	0.714	0.113	0.008	0.0535	ols_slope	0.1314604253696663	0.8098539820805224	1	0	0.543	0.537	0.727	0.587	0.726	0.583	0.757	0.686	0.684	175	164	165	167	175	192	169	102	152
cadm1_dose		chr19:ERCC1:t:45413745|19:45413745-45414860:-	ERCC1	chr19:ERCC1:t:45413745	t	45413745	19:45413745-45414860:-	19	45413745	45414860	-	130.9	0.295	0.307	0.408	0.113	0.162	0.0654	ols_slope	0.17923520658049324	0.845235500505905	1	0	0.264	0.158	0.434	0.226	0.429	0.265	0.421	0.328	0.5	87	158	175	146	133	102	152	131	94
cadm1_dose		chr6:HDDC2:t:125292909|6:125292909-125298713:-	HDDC2	chr6:HDDC2:t:125292909	t	125292909	6:125292909-125298713:-	6	125292909	125298713	-	135.1	0.229	0.276	0.341	0.112	0.059	0.0645	ols_slope	0.193445198878862	0.8520392980911292	1	0	0.267	0.311	0.077	0.401	0.207	0.169	0.297	0.279	0.466	101	219	143	137	140	71	165	122	118
cadm1_dose		chr19:RANBP3:t:5928087|19:5928087-5931403:-	RANBP3	chr19:RANBP3:t:5928087	t	5928087	19:5928087-5931403:-	19	5928087	5931403	-	157.3	0.507	0.526	0.618	0.111	0.082	0.0466	ols_slope	0.24132722086013098	0.8520392980911292	1	0	0.538	0.607	0.398	0.592	0.538	0.402	0.609	0.672	0.541	93	196	206	169	182	107	169	183	111
cadm1_dose		chr16:INO80E:t:30005220|16:30001530-30005220:+	INO80E	chr16:INO80E:t:30005220	t	30005220	16:30001530-30005220:+	16	30001530	30005220	+	169.0	0.62	0.506	0.73	0.11	0.098	0.0808	ols_slope	0.23366224805050856	0.8520392980911292	0	0	0.353	0.697	0.672	0.455	0.587	0.495	0.648	0.895	0.665	116	195	299	176	126	109	145	152	203
cadm1_dose		chrX:CCNQ:s:153592505|X:153588454-153592505:-	CCNQ	chrX:CCNQ:s:153592505	s	153592505	X:153588454-153592505:-	X	153588454	153592505	-	110.1	0.542	0.66	0.647	0.105	0.108	0.0473	ols_slope	0.3944149317054767	0.9155331057204849	0	0	0.722	0.531	0.445	0.626	0.556	0.826	0.656	0.782	0.545	72	143	119	115	144	115	93	78	112
cadm1_dose		chr16:ZNF598:t:2001191|16:2001191-2001582:-	ZNF598	chr16:ZNF598:t:2001191	t	2001191	16:2001191-2001582:-	16	2001191	2001582	-	126.9	0.779	0.668	0.884	0.104	0.093	0.0683	ols_slope	0.2303228957192998	0.8520392980911292	0	0	0.616	0.903	0.766	0.714	0.6	0.702	0.932	0.962	0.801	86	144	291	119	110	57	147	52	136
cadm1_dose		chr16:NUTF2:t:67865101|16:67846985-67865101:+	NUTF2	chr16:NUTF2:t:67865101	t	67865101	16:67846985-67865101:+	16	67846985	67865101	+	170.1	0.774	0.749	0.878	0.104	0.031	0.0467	ols_slope	0.20599695885380537	0.8520392980911292	0	0	0.773	0.807	0.752	0.736	0.662	0.849	0.772	0.887	0.953	203	202	290	182	160	159	101	106	128
cadm1_dose		chr7:BUD23:s:73687095|7:73687095-73690915:+	BUD23	chr7:BUD23:s:73687095	s	73687095	7:73687095-73690915:+	7	73687095	73690915	+	102.1	0.836	0.942	0.939	0.103	0.102	0.0433	ols_slope	0.22190157610649233	0.8520392980911292	0	0	0.983	0.867	0.716	0.924	0.959	0.944	0.989	0.926	0.91	58	120	102	118	121	90	88	122	100
cadm1_dose		chr6:RNF8:s:37371574|6:37371574-37374619:+	RNF8	chr6:RNF8:s:37371574	s	37371574	6:37371574-37374619:+	6	37371574	37374619	+	173.4	0.793	0.906	0.897	0.103	0.063	0.0528	ols_slope	0.24741067130088412	0.8526152364830468	0	0	0.81	0.904	0.665	0.975	0.774	1.0	0.856	0.896	0.943	147	166	161	163	177	128	215	212	192
cadm1_dose		chr19:ERCC1:s:45414860|19:45413745-45414860:-	ERCC1	chr19:ERCC1:s:45414860	s	45414860	19:45413745-45414860:-	19	45413745	45414860	-	107.4	0.383	0.359	0.486	0.103	0.146	0.0607	ols_slope	0.35627821740678006	0.9150517798418184	0	0	0.383	0.207	0.531	0.234	0.606	0.297	0.496	0.394	0.595	60	121	143	141	94	91	129	109	79
cadm1_dose		chrX:IDH3G:s:153787050|X:153786947-153787050:-	IDH3G	chrX:IDH3G:s:153787050	s	153787050	X:153786947-153787050:-	X	153786947	153787050	-	101.2	0.885	0.902	0.987	0.102	0.111	0.0558	ols_slope	0.10400522158285155	0.8098539820805224	1	0	0.846	0.861	0.924	0.763	1.0	0.957	0.966	1.0	1.0	78	108	145	97	86	92	118	87	100
cadm1_dose		chr12:SFSWAP:t:131766117|12:131764686-131766117:+	SFSWAP	chr12:SFSWAP:t:131766117	t	131766117	12:131764686-131766117:+	12	131764686	131766117	+	167.9	0.693	0.859	0.795	0.102	0.127	0.057	ols_slope	0.16005257157294908	0.8098539820805224	0	0	0.721	0.755	0.576	0.862	0.843	0.877	0.86	0.732	0.802	219	229	177	152	159	122	129	157	167
cadm1_dose		chr7:GIGYF1:t:100681771|7:100681771-100681863:-	GIGYF1	chr7:GIGYF1:t:100681771	t	100681771	7:100681771-100681863:-	7	100681771	100681863	-	103.2	0.853	0.88	0.955	0.102	0.056	0.063	ols_slope	0.07288025034940619	0.8098539820805224	1	0	0.868	0.691	0.914	0.942	0.821	0.91	0.954	0.98	0.918	114	81	186	69	112	78	130	98	61
cadm1_dose		chr2:MRPL33:s:27772692|2:27772692-27779432:+	MRPL33	chr2:MRPL33:s:27772692	s	27772692	2:27772692-27779432:+	2	27772692	27779432	+	122.0	0.546	0.527	0.648	0.102	0.156	0.0641	ols_slope	0.21675974607268544	0.8520392980911292	0	0	0.356	0.523	0.712	0.533	0.575	0.463	0.667	0.571	0.738	87	130	118	167	127	108	111	147	103
cadm1_dose		chr12:TMEM106C:t:47964208|12:47963633-47964208:+	TMEM106C	chr12:TMEM106C:t:47964208	t	47964208	12:47963633-47964208:+	12	47963633	47964208	+	124.2	0.605	0.659	0.707	0.102	0.144	0.0521	ols_slope	0.23353106031814083	0.8520392980911292	1	0	0.496	0.701	0.608	0.609	0.571	0.835	0.761	0.67	0.687	133	147	148	133	119	97	117	109	115
cadm1_dose		chr16:METTL26:s:636093|16:634797-636093:-	METTL26	chr16:METTL26:s:636093	s	636093	16:634797-636093:-	16	634797	636093	-	220.6	0.402	0.534	0.502	0.1	0.098	0.0477	ols_slope	0.13261413486300389	0.8098539820805224	0	0	0.409	0.455	0.351	0.604	0.533	0.417	0.516	0.512	0.473	186	268	308	235	225	139	192	246	186
cadm1_dose		chr17:BIRC5:s:78214789|17:78214789-78223464:+	BIRC5	chr17:BIRC5:s:78214789	s	78214789	17:78214789-78223464:+	17	78214789	78223464	+	132.7	0.223	0.226	0.323	0.1	0.032	0.0436	ols_slope	0.1932720248941132	0.8520392980911292	1	0	0.214	0.248	0.206	0.087	0.262	0.31	0.368	0.265	0.297	98	149	170	104	107	126	212	117	111
cadm1_dose		chr5:NOP16:s:176385220|5:176384374-176385220:-	NOP16	chr5:NOP16:s:176385220	s	176385220	5:176384374-176385220:-	5	176384374	176385220	-	256.1	0.51	0.651	0.611	0.1	0.127	0.0412	ols_slope	0.31051012847852727	0.9150517798418184	0	0	0.567	0.492	0.485	0.679	0.557	0.744	0.495	0.655	0.641	210	321	231	243	282	211	194	290	323
cadm1_dose		chr12:OS9:t:57718992|12:57718421-57718992:+	OS9	chr12:OS9:t:57718992	t	57718992	12:57718421-57718992:+	12	57718421	57718992	+	137.0	0.787	0.697	0.887	0.1	0.038	0.0375	ols_slope	0.3723509099710867	0.9150517798418184	0	0	0.912	0.717	0.8	0.677	0.733	0.698	0.907	0.902	0.845	91	198	185	201	116	116	97	132	97
cadm1_dose		chr8:EEF1D:s:143597347|8:143586852-143597347:-	EEF1D	chr8:EEF1D:s:143597347	s	143597347	8:143586852-143597347:-	8	143586852	143597347	-	102.2	0.792	0.858	0.891	0.099	0.03	0.0486	ols_slope	0.3673184439534942	0.9150517798418184	1	0	0.939	0.86	0.561	0.897	0.811	0.864	0.913	0.767	0.972	132	129	123	78	74	81	104	90	109
cadm1_dose		chr16:CARMIL2:s:67656645|16:67656645-67657238:+	CARMIL2	chr16:CARMIL2:s:67656645	s	67656645	16:67656645-67657238:+	16	67656645	67657238	+	166.8	0.794	0.795	0.891	0.097	0.075	0.0508	ols_slope	0.14211141123953056	0.8098539820805224	1	0	0.756	0.907	0.706	0.8	0.718	0.885	0.881	0.911	0.881	156	193	180	210	124	96	177	180	185
cadm1_dose		chr7:DBNL:s:44058280|7:44058280-44058431:+	DBNL	chr7:DBNL:s:44058280	s	44058280	7:44058280-44058431:+	7	44058280	44058431	+	130.0	0.614	0.744	0.71	0.097	0.144	0.043	ols_slope	0.4355917972222657	0.9553558989835146	0	0	0.708	0.718	0.444	0.84	0.786	0.566	0.617	0.788	0.723	113	117	135	150	131	113	133	137	141
cadm1_dose		chr12:RPL6:t:112408656|12:112408656-112409586:-	RPL6	chr12:RPL6:t:112408656	t	112408656	12:112408656-112409586:-	12	112408656	112409586	-	935.1	0.325	0.387	0.421	0.095	0.103	0.0472	ols_slope	0.1500850455963774	0.8098539820805224	1	0	0.311	0.299	0.364	0.408	0.444	0.279	0.529	0.357	0.371	789	1026	989	1055	900	681	1011	846	1119
cadm1_dose		chr6:MRPL18:t:159790939|6:159790639-159790939:+	MRPL18	chr6:MRPL18:t:159790939	t	159790939	6:159790639-159790939:+	6	159790639	159790939	+	164.3	0.688	0.768	0.783	0.095	0.043	0.0507	ols_slope	0.12587227536282772	0.8098539820805224	1	0	0.66	0.704	0.683	0.873	0.641	0.812	0.751	0.784	0.817	106	226	180	166	181	128	189	134	169
cadm1_dose		chr16:GSPT1:s:11897839|16:11896782-11897839:-	GSPT1	chr16:GSPT1:s:11897839	s	11897839	16:11896782-11897839:-	16	11896782	11897839	-	125.3	0.083	0.11	0.178	0.095	0.095	0.0409	ols_slope	0.2406038433779058	0.8520392980911292	1	0	0.029	0.048	0.158	0.037	0.051	0.212	0.165	0.24	0.075	105	124	133	80	138	137	109	196	106
cadm1_dose		chr21:GET1:t:39390697|21:39387855-39390697:+	GET1	chr21:GET1:t:39390697	t	39390697	21:39387855-39390697:+	21	39387855	39390697	+	114.4	0.258	0.238	0.352	0.094	0.054	0.0612	ols_slope	0.14233475619987068	0.8098539820805224	0	0	0.138	0.266	0.293	0.263	0.099	0.35	0.404	0.303	0.358	65	154	188	118	101	100	104	119	81
cadm1_dose		chr2:PPP1R7:s:241166441|2:241166441-241169780:+	PPP1R7	chr2:PPP1R7:s:241166441	s	241166441	2:241166441-241169780:+	2	241166441	241169780	+	150.4	0.214	0.261	0.307	0.093	0.082	0.0514	ols_slope	0.16450159011010612	0.8098539820805224	1	0	0.296	0.217	0.135	0.221	0.252	0.321	0.287	0.22	0.45	169	207	185	140	143	112	171	127	100
