contrast	rank	junction_id	gene	lsv	side	anchor	junction	chrom	start	end	strand	mean_lsv_total	psi_ctl	psi_mid	psi_treated	dpsi	dpsi_dedup	slope	test	p	padj	consistent	hit	psi_Hek_control_1	psi_Hek_control_2	psi_Hek_control_3	psi_Ris_dose_25mM-1	psi_Ris_dose_25mM-2	psi_Ris_dose_25mM-3	n_Hek_control_1	n_Hek_control_2	n_Hek_control_3	n_Ris_dose_25mM-1	n_Ris_dose_25mM-2	n_Ris_dose_25mM-3
ris_low		chr6:RNF8:s:37371574|6:37371574-37374619:+	RNF8	chr6:RNF8:s:37371574	s	37371574	6:37371574-37374619:+	6	37371574	37374619	+	152.8	0.793		0.885	0.092	0.027		welch	0.29862093703378956	0.9646329354635802	0	0	0.81	0.904	0.665	0.88	0.911	0.876	147	166	161	192	90	161
ris_low		chr16:FLYWCH2:t:2896351|16:2883366-2896351:+	FLYWCH2	chr16:FLYWCH2:t:2896351	t	2896351	16:2883366-2896351:+	16	2883366	2896351	+	102.5	0.141		0.233	0.092	0.059		welch	0.44862821585550217	0.9646329354635802	0	0	0.025	0.333	0.049	0.093	0.291	0.338	79	105	122	107	134	68
ris_low		chr1:POLR3GL:s:145975436|1:145975436-145977083:+	POLR3GL	chr1:POLR3GL:s:145975436	s	145975436	1:145975436-145977083:+	1	145975436	145977083	+	107.2	0.611		0.7	0.089	0.046		welch	0.5712135248523953	0.9646329354635802	0	0	0.534	0.558	0.769	0.713	0.574	0.742	133	129	108	129	47	97
ris_low		chr14:HNRNPC:t:21234229|14:21234229-21263310:-	HNRNPC	chr14:HNRNPC:t:21234229	t	21234229	14:21234229-21263310:-	14	21234229	21263310	-	308.8	0.743		0.832	0.089	0.078		welch	0.11070651613444833	0.9646329354635802	0	0	0.7	0.809	0.674	0.779	0.854	0.865	213	470	307	312	137	414
ris_low		chr12:SCAF11:t:45964188|12:45964188-45991884:-	SCAF11	chr12:SCAF11:t:45964188	t	45964188	12:45964188-45991884:-	12	45964188	45991884	-	142.2	0.071		0.155	0.084	0.074		welch	0.4080326226508963	0.9646329354635802	0	0	0.123	0.055	0.044	0.239	0.019	0.169	122	164	136	142	106	183
ris_low		chr9:FUBP3:s:130632278|9:130632278-130635998:+	FUBP3	chr9:FUBP3:s:130632278	s	130632278	9:130632278-130635998:+	9	130632278	130635998	+	103.7	0.124		0.207	0.083	0.09		welch	0.3443745678132973	0.9646329354635802	0	0	0.13	0.132	0.114	0.367	0.2	0.098	77	121	158	98	25	143
ris_low		chr16:RNPS1:s:2268054|16:2264760-2268054:-	RNPS1	chr16:RNPS1:s:2268054	s	2268054	16:2264760-2268054:-	16	2264760	2268054	-	153.2	0.722		0.803	0.081	0.064		welch	0.304028037056029	0.9646329354635802	0	0	0.818	0.704	0.667	0.882	0.737	0.789	148	196	195	119	114	147
ris_low		chr17:CEP131:s:81192317|17:81191335-81192317:-	CEP131	chr17:CEP131:s:81192317	s	81192317	17:81191335-81192317:-	17	81191335	81192317	-	107.2	0.687		0.768	0.081	0.034		welch	0.8740549233900585	0.9791561399089092	0	0	0.683	0.672	0.707	0.784	0.446	0.906	82	131	116	111	65	138
ris_low		chrX:CCNQ:s:153592505|X:153588454-153592505:-	CCNQ	chrX:CCNQ:s:153592505	s	153592505	X:153588454-153592505:-	X	153588454	153592505	-	105.0	0.542		0.622	0.08	0.092		welch	0.5156789165852856	0.9646329354635802	0	0	0.722	0.531	0.445	0.638	0.683	0.575	72	143	119	116	60	120
ris_low		chrX:CDK16:s:47219105|X:47219105-47222260:+	CDK16	chrX:CDK16:s:47219105	s	47219105	X:47219105-47222260:+	X	47219105	47222260	+	112.5	0.076		0.154	0.078	0.083		welch	0.5307034770479968	0.9646329354635802	0	0	0.167	0.0	0.071	0.277	0.025	0.119	108	118	156	112	80	101
ris_low		chr11:MDK:t:46382056|11:46381183-46382056:+	MDK	chr11:MDK:t:46382056	t	46382056	11:46381183-46382056:+	11	46381183	46382056	+	177.3	0.037		0.116	0.078	0.024		welch	0.48651089995735114	0.9646329354635802	0	0	0.037	0.054	0.025	0.25	0.058	0.0	109	222	284	176	139	134
ris_low		chr13:TFDP1:t:113640119|13:113637884-113640119:+	TFDP1	chr13:TFDP1:t:113640119	t	113640119	13:113637884-113640119:+	13	113637884	113640119	+	141.7	0.099		0.176	0.077	0.066		welch	0.45790446233899385	0.9646329354635802	0	0	0.034	0.214	0.052	0.194	0.067	0.223	117	145	191	160	89	148
ris_low		chr16:CARMIL2:t:67657238|16:67656645-67657238:+	CARMIL2	chr16:CARMIL2:t:67657238	t	67657238	16:67656645-67657238:+	16	67656645	67657238	+	166.0	0.741		0.818	0.077	0.105		welch	0.31132708504892415	0.9646329354635802	0	0	0.694	0.862	0.655	0.766	0.912	0.805	170	203	194	137	102	190
ris_low		chr17:CEP131:t:81192593|17:81192593-81192735:-	CEP131	chr17:CEP131:t:81192593	t	81192593	17:81192593-81192735:-	17	81192593	81192735	-	174.5	0.72		0.797	0.077	0.098		welch	0.48886080714418734	0.9646329354635802	0	0	0.595	0.836	0.724	0.799	0.672	0.905	158	165	181	284	122	137
ris_low		chr4:MRPS18C:s:83456958|4:83456958-83459739:+	MRPS18C	chr4:MRPS18C:s:83456958	s	83456958	4:83456958-83459739:+	4	83456958	83459739	+	100.5	0.642		0.717	0.075	0.129		welch	0.2040438785705595	0.9646329354635802	0	0	0.557	0.648	0.718	0.709	0.882	0.689	106	182	103	134	17	61
ris_low		chr16:TNRC6A:t:24750725|16:24729846-24750725:+	TNRC6A	chr16:TNRC6A:t:24750725	t	24750725	16:24729846-24750725:+	16	24729846	24750725	+	104.5	0.224		0.299	0.075	0.044		welch	0.41215277905653047	0.9646329354635802	0	0	0.337	0.176	0.165	0.233	0.454	0.243	92	85	109	129	97	115
