comparison	gene_id	symbol	mean_log2_reference	mean_log2_truseq	deviation_log2	direction	histone_replication_dependent	mrna_length_nt
TruSeq vs BOBseq	ENSG00000013503	POLR3B	2.53	4.972	2.044	over-represented in TruSeq	0	4180
TruSeq vs BOBseq	ENSG00000014641	MDH1	5.073	8.517	3.046	over-represented in TruSeq	0	1260
TruSeq vs BOBseq	ENSG00000014919	COX15	2.406	5.392	2.589	over-represented in TruSeq	0	2667
TruSeq vs BOBseq	ENSG00000016864	GLT8D1	3.339	6.204	2.467	over-represented in TruSeq	0	1002
TruSeq vs BOBseq	ENSG00000020922	MRE11	2.921	5.455	2.136	over-represented in TruSeq	0	3694
TruSeq vs BOBseq	ENSG00000023734	STRAP	5.512	8.455	2.545	over-represented in TruSeq	0	1712
TruSeq vs BOBseq	ENSG00000023892	DEF6	4.865	2.446	-2.817	under-represented in TruSeq	0	2288
TruSeq vs BOBseq	ENSG00000023909	GCLM	2.486	5.293	2.41	over-represented in TruSeq	0	3096
TruSeq vs BOBseq	ENSG00000025796	SEC63	3.664	6.65	2.588	over-represented in TruSeq	0	1340
TruSeq vs BOBseq	ENSG00000028203	VEZT	3.369	6.133	2.366	over-represented in TruSeq	0	2244
TruSeq vs BOBseq	ENSG00000029639	TFB1M	2.788	5.233	2.047	over-represented in TruSeq	0	1101
TruSeq vs BOBseq	ENSG00000033178	UBA6	2.762	5.651	2.491	over-represented in TruSeq	0	1500
TruSeq vs BOBseq	ENSG00000035687	ADSS2	3.943	6.461	2.12	over-represented in TruSeq	0	2094
TruSeq vs BOBseq	ENSG00000036257	CUL3	2.868	6.634	3.367	over-represented in TruSeq	0	1848
TruSeq vs BOBseq	ENSG00000038274	MAT2B	3.888	6.441	2.155	over-represented in TruSeq	0	2069
TruSeq vs BOBseq	ENSG00000041357	PSMA4	7.109	10.365	2.857	over-represented in TruSeq	0	912
TruSeq vs BOBseq	ENSG00000041988	THAP3	6.552	4.238	-2.712	under-represented in TruSeq	0	1199
TruSeq vs BOBseq	ENSG00000043514	TRIT1	1.908	4.931	2.624	over-represented in TruSeq	0	1225
TruSeq vs BOBseq	ENSG00000044574	HSPA5	5.349	8.609	2.862	over-represented in TruSeq	0	3685
TruSeq vs BOBseq	ENSG00000046604	DSG2	4.187	6.612	2.027	over-represented in TruSeq	0	5079
TruSeq vs BOBseq	ENSG00000047315	POLR2B	3.734	7.36	3.229	over-represented in TruSeq	0	3217
TruSeq vs BOBseq	ENSG00000047621	FERRY3	2.331	4.746	2.016	over-represented in TruSeq	0	2783
TruSeq vs BOBseq	ENSG00000047634	SCML1	2.933	6.479	3.148	over-represented in TruSeq	0	2848
TruSeq vs BOBseq	ENSG00000047932	GOPC	2.652	5.264	2.214	over-represented in TruSeq	0	4588
TruSeq vs BOBseq	ENSG00000048028	USP28	2.895	5.762	2.469	over-represented in TruSeq	0	2159
TruSeq vs BOBseq	ENSG00000049245	VAMP3	3.894	6.339	2.048	over-represented in TruSeq	0	2064
TruSeq vs BOBseq	ENSG00000051108	HERPUD1	2.379	6.158	3.381	over-represented in TruSeq	0	1164
TruSeq vs BOBseq	ENSG00000051128	HOMER3	5.176	3.385	-2.189	under-represented in TruSeq	0	745
TruSeq vs BOBseq	ENSG00000051523	CYBA	10.266	6.957	-3.707	under-represented in TruSeq	0	550
TruSeq vs BOBseq	ENSG00000052749	RRP12	7.532	5.796	-2.133	under-represented in TruSeq	0	3842
TruSeq vs BOBseq	ENSG00000052802	MSMO1	2.997	6.147	2.752	over-represented in TruSeq	0	1866
TruSeq vs BOBseq	ENSG00000053501	USE1	7.179	5.495	-2.081	under-represented in TruSeq	0	989
TruSeq vs BOBseq	ENSG00000055147	FAM114A2	3.034	5.469	2.037	over-represented in TruSeq	0	1497
TruSeq vs BOBseq	ENSG00000056097	ZFR	3.356	6.78	3.026	over-represented in TruSeq	0	2418
TruSeq vs BOBseq	ENSG00000056586	RC3H2	2.35	4.931	2.183	over-represented in TruSeq	0	4498
TruSeq vs BOBseq	ENSG00000057608	GDI2	5.013	8.044	2.632	over-represented in TruSeq	0	1966
TruSeq vs BOBseq	ENSG00000058453	CROCC	4.881	3.166	-2.113	under-represented in TruSeq	0	1514
TruSeq vs BOBseq	ENSG00000059573	ALDH18A1	4.411	7.455	2.646	over-represented in TruSeq	0	2877
TruSeq vs BOBseq	ENSG00000060688	SNRNP40	4.207	7.798	3.193	over-represented in TruSeq	0	1064
TruSeq vs BOBseq	ENSG00000062194	GPBP1	2.342	6.295	3.555	over-represented in TruSeq	0	2575
TruSeq vs BOBseq	ENSG00000062485	CS	5.7	8.537	2.439	over-represented in TruSeq	0	1599
TruSeq vs BOBseq	ENSG00000063180	CA11	6.584	4.101	-2.881	under-represented in TruSeq	0	718
TruSeq vs BOBseq	ENSG00000063245	EPN1	9.034	6.813	-2.62	under-represented in TruSeq	0	2695
TruSeq vs BOBseq	ENSG00000064115	TM7SF3	2.767	6.38	3.215	over-represented in TruSeq	0	1355
TruSeq vs BOBseq	ENSG00000064666	CNN2	6.762	4.617	-2.543	under-represented in TruSeq	0	2102
TruSeq vs BOBseq	ENSG00000064687	ABCA7	5.378	3.003	-2.773	under-represented in TruSeq	0	4265
TruSeq vs BOBseq	ENSG00000064703	DDX20	2.861	5.871	2.612	over-represented in TruSeq	0	3013
TruSeq vs BOBseq	ENSG00000064726	BTBD1	3.261	6.825	3.166	over-represented in TruSeq	0	2965
TruSeq vs BOBseq	ENSG00000064995	TAF11	8.416	6.381	-2.433	under-represented in TruSeq	0	1447
TruSeq vs BOBseq	ENSG00000065054	NHERF2	9.533	5.358	-4.572	under-represented in TruSeq	0	1314
TruSeq vs BOBseq	ENSG00000065150	IPO5	4.576	8.037	3.063	over-represented in TruSeq	0	3988
TruSeq vs BOBseq	ENSG00000065154	OAT	4.765	7.918	2.755	over-represented in TruSeq	0	1929
TruSeq vs BOBseq	ENSG00000065183	WDR3	2.956	6.85	3.496	over-represented in TruSeq	0	3331
TruSeq vs BOBseq	ENSG00000065243	PKN2	3.153	5.723	2.172	over-represented in TruSeq	0	4321
TruSeq vs BOBseq	ENSG00000065268	WDR18	9.858	6.964	-3.293	under-represented in TruSeq	0	1274
TruSeq vs BOBseq	ENSG00000065615	CYB5R4	2.633	5.042	2.011	over-represented in TruSeq	0	2442
TruSeq vs BOBseq	ENSG00000065717	TLE2	3.955	2.248	-2.105	under-represented in TruSeq	0	1548
TruSeq vs BOBseq	ENSG00000065882	TBC1D1	6.432	4.342	-2.488	under-represented in TruSeq	0	2431
TruSeq vs BOBseq	ENSG00000065911	MTHFD2	5.697	8.453	2.358	over-represented in TruSeq	0	1652
TruSeq vs BOBseq	ENSG00000066279	ASPM	2.715	5.166	2.053	over-represented in TruSeq	0	6498
TruSeq vs BOBseq	ENSG00000067167	TRAM1	4.197	7.3	2.705	over-represented in TruSeq	0	1931
TruSeq vs BOBseq	ENSG00000067334	DNTTIP2	4.197	7.151	2.555	over-represented in TruSeq	0	1184
TruSeq vs BOBseq	ENSG00000067560	RHOA	5.802	9.596	3.396	over-represented in TruSeq	0	1385
TruSeq vs BOBseq	ENSG00000067704	IARS2	4.912	7.437	2.128	over-represented in TruSeq	0	3525
TruSeq vs BOBseq	ENSG00000068697	LAPTM4A	4.279	7.793	3.116	over-represented in TruSeq	0	1281
TruSeq vs BOBseq	ENSG00000068878	PSME4	3.082	5.618	2.138	over-represented in TruSeq	0	5139
TruSeq vs BOBseq	ENSG00000069248	NUP133	3.224	6.669	3.046	over-represented in TruSeq	0	2985
TruSeq vs BOBseq	ENSG00000069329	VPS35	2.669	7.055	3.988	over-represented in TruSeq	0	2242
TruSeq vs BOBseq	ENSG00000069509	FUNDC1	3.494	6.348	2.456	over-represented in TruSeq	0	1054
TruSeq vs BOBseq	ENSG00000070669	ASNS	3.696	7.706	3.612	over-represented in TruSeq	0	1512
TruSeq vs BOBseq	ENSG00000070814	TCOF1	9.473	7.347	-2.525	under-represented in TruSeq	0	4771
TruSeq vs BOBseq	ENSG00000070831	CDC42	4.415	7.303	2.49	over-represented in TruSeq	0	2044
TruSeq vs BOBseq	ENSG00000071243	ING3	3.273	5.849	2.178	over-represented in TruSeq	0	1599
TruSeq vs BOBseq	ENSG00000071859	FAM50A	10.442	7.621	-3.219	under-represented in TruSeq	0	1245
TruSeq vs BOBseq	ENSG00000072041	SLC6A15	3.868	6.381	2.114	over-represented in TruSeq	0	2342
TruSeq vs BOBseq	ENSG00000072274	TFRC	3.975	7.429	3.055	over-represented in TruSeq	0	3823
TruSeq vs BOBseq	ENSG00000072803	FBXW11	3.715	6.242	2.129	over-represented in TruSeq	0	2518
TruSeq vs BOBseq	ENSG00000073921	PICALM	3.965	6.441	2.078	over-represented in TruSeq	0	2167
TruSeq vs BOBseq	ENSG00000074201	CLNS1A	5.593	8.643	2.652	over-represented in TruSeq	0	993
TruSeq vs BOBseq	ENSG00000075131	TIPIN	3.178	6.725	3.149	over-represented in TruSeq	0	1053
TruSeq vs BOBseq	ENSG00000076003	MCM6	4.558	7.4	2.444	over-represented in TruSeq	0	3539
TruSeq vs BOBseq	ENSG00000077097	TOP2B	3.623	7.093	3.071	over-represented in TruSeq	0	2857
TruSeq vs BOBseq	ENSG00000077150	NFKB2	6.011	3.872	-2.537	under-represented in TruSeq	0	1958
TruSeq vs BOBseq	ENSG00000077152	UBE2T	3.93	7.641	3.313	over-represented in TruSeq	0	822
TruSeq vs BOBseq	ENSG00000077235	GTF3C1	8.862	6.752	-2.508	under-represented in TruSeq	0	2166
TruSeq vs BOBseq	ENSG00000077254	USP33	3.577	6.331	2.357	over-represented in TruSeq	0	2187
TruSeq vs BOBseq	ENSG00000078140	UBE2K	9.155	7.016	-2.537	under-represented in TruSeq	0	3395
TruSeq vs BOBseq	ENSG00000078403	MLLT10	2.61	5.299	2.291	over-represented in TruSeq	0	2570
TruSeq vs BOBseq	ENSG00000078668	VDAC3	4.847	8.742	3.498	over-represented in TruSeq	0	1314
TruSeq vs BOBseq	ENSG00000079246	XRCC5	5.638	8.698	2.662	over-represented in TruSeq	0	3225
TruSeq vs BOBseq	ENSG00000079459	FDFT1	4.978	7.854	2.478	over-represented in TruSeq	0	1685
TruSeq vs BOBseq	ENSG00000079785	DDX1	4.783	8.139	2.959	over-represented in TruSeq	0	2508
TruSeq vs BOBseq	ENSG00000080371	RAB21	2.187	5.611	3.025	over-represented in TruSeq	0	2337
TruSeq vs BOBseq	ENSG00000080822	CLDND1	2.256	6.561	3.907	over-represented in TruSeq	0	1144
TruSeq vs BOBseq	ENSG00000080823	MOK	6.038	4.425	-2.011	under-represented in TruSeq	0	1518
TruSeq vs BOBseq	ENSG00000080845	DLGAP4	6.664	4.233	-2.829	under-represented in TruSeq	0	2355
TruSeq vs BOBseq	ENSG00000080986	NDC80	2.609	5.218	2.211	over-represented in TruSeq	0	1820
TruSeq vs BOBseq	ENSG00000081059	TCF7	5.082	3.283	-2.197	under-represented in TruSeq	0	2490
TruSeq vs BOBseq	ENSG00000081154	PCNP	4.073	7.687	3.216	over-represented in TruSeq	0	1683
TruSeq vs BOBseq	ENSG00000082068	WDR70	7.33	5.542	-2.186	under-represented in TruSeq	0	2003
TruSeq vs BOBseq	ENSG00000082153	BZW1	3.945	8.631	4.289	over-represented in TruSeq	0	1597
TruSeq vs BOBseq	ENSG00000082212	ME2	2.591	5.867	2.879	over-represented in TruSeq	0	2533
TruSeq vs BOBseq	ENSG00000082397	EPB41L3	7.76	6.112	-2.046	under-represented in TruSeq	0	2439
TruSeq vs BOBseq	ENSG00000082898	XPO1	4.174	7.806	3.235	over-represented in TruSeq	0	4603
TruSeq vs BOBseq	ENSG00000083520	DIS3	3.542	7.246	3.307	over-represented in TruSeq	0	3710
TruSeq vs BOBseq	ENSG00000083807	SLC27A5	7.079	4.28	-3.197	under-represented in TruSeq	0	609
TruSeq vs BOBseq	ENSG00000084073	ZMPSTE24	3.813	6.679	2.468	over-represented in TruSeq	0	2938
TruSeq vs BOBseq	ENSG00000085063	CD59	2.8	6.884	3.686	over-represented in TruSeq	0	1711
TruSeq vs BOBseq	ENSG00000085117	CD82	5.343	2.91	-2.831	under-represented in TruSeq	0	1954
TruSeq vs BOBseq	ENSG00000085231	AK6	4.239	6.939	2.302	over-represented in TruSeq	0	1625
TruSeq vs BOBseq	ENSG00000085377	PREP	2.692	5.426	2.335	over-represented in TruSeq	0	3183
TruSeq vs BOBseq	ENSG00000085719	CPNE3	3.309	6.325	2.618	over-represented in TruSeq	0	4320
TruSeq vs BOBseq	ENSG00000085788	DDHD2	3.302	5.902	2.202	over-represented in TruSeq	0	1996
TruSeq vs BOBseq	ENSG00000086061	DNAJA1	5.985	8.764	2.381	over-represented in TruSeq	0	2269
TruSeq vs BOBseq	ENSG00000086232	EIF2AK1	4.153	7.42	2.869	over-represented in TruSeq	0	1096
TruSeq vs BOBseq	ENSG00000086666	ZFAND6	2.611	6.464	3.455	over-represented in TruSeq	0	1367
TruSeq vs BOBseq	ENSG00000087263	OGFOD1	3.928	7.255	2.929	over-represented in TruSeq	0	1927
TruSeq vs BOBseq	ENSG00000087365	SF3B2	10.454	8.438	-2.414	under-represented in TruSeq	0	2325
TruSeq vs BOBseq	ENSG00000087502	ERGIC2	3.132	6.8	3.27	over-represented in TruSeq	0	655
TruSeq vs BOBseq	ENSG00000087586	AURKA	4.645	7.225	2.182	over-represented in TruSeq	0	1963
TruSeq vs BOBseq	ENSG00000088451	TGDS	2.817	5.746	2.531	over-represented in TruSeq	0	1662
TruSeq vs BOBseq	ENSG00000088766	CRLS1	2.861	6.29	3.031	over-represented in TruSeq	0	1199
TruSeq vs BOBseq	ENSG00000089248	ERP29	8.881	7.097	-2.183	under-represented in TruSeq	0	1496
TruSeq vs BOBseq	ENSG00000089682	RBM41	2.615	5.168	2.155	over-represented in TruSeq	0	4079
TruSeq vs BOBseq	ENSG00000089876	DHX32	2.604	5.242	2.24	over-represented in TruSeq	0	1768
TruSeq vs BOBseq	ENSG00000090238	YPEL3	5.569	3.187	-2.78	under-represented in TruSeq	0	735
TruSeq vs BOBseq	ENSG00000090273	NUDC	10.278	8.01	-2.665	under-represented in TruSeq	0	1741
TruSeq vs BOBseq	ENSG00000090487	SPG21	3.785	6.426	2.243	over-represented in TruSeq	0	1596
TruSeq vs BOBseq	ENSG00000090674	MCOLN1	7.003	4.79	-2.611	under-represented in TruSeq	0	1813
TruSeq vs BOBseq	ENSG00000090686	USP48	3.371	5.807	2.038	over-represented in TruSeq	0	2002
TruSeq vs BOBseq	ENSG00000090889	KIF4A	3.0	5.739	2.341	over-represented in TruSeq	0	4056
TruSeq vs BOBseq	ENSG00000090971	NAT14	8.716	6.248	-2.867	under-represented in TruSeq	0	1055
TruSeq vs BOBseq	ENSG00000091127	PUS7	3.118	5.532	2.016	over-represented in TruSeq	0	2628
TruSeq vs BOBseq	ENSG00000091140	DLD	2.836	7.47	4.236	over-represented in TruSeq	0	2129
TruSeq vs BOBseq	ENSG00000091317	CMTM6	2.727	6.161	3.036	over-represented in TruSeq	0	3206
TruSeq vs BOBseq	ENSG00000091483	FH	3.757	7.213	3.058	over-represented in TruSeq	0	1263
TruSeq vs BOBseq	ENSG00000091640	SPAG7	8.262	6.223	-2.437	under-represented in TruSeq	0	991
TruSeq vs BOBseq	ENSG00000091947	TMEM101	6.857	4.963	-2.292	under-represented in TruSeq	0	1745
TruSeq vs BOBseq	ENSG00000092108	SCFD1	3.681	6.426	2.347	over-represented in TruSeq	0	2151
TruSeq vs BOBseq	ENSG00000092199	HNRNPC	8.593	11.172	2.181	over-represented in TruSeq	0	1343
TruSeq vs BOBseq	ENSG00000092201	SUPT16H	5.049	7.99	2.544	over-represented in TruSeq	0	2714
TruSeq vs BOBseq	ENSG00000092531	SNAP23	3.345	6.242	2.499	over-represented in TruSeq	0	1608
TruSeq vs BOBseq	ENSG00000093144	ECHDC1	3.546	7.069	3.124	over-represented in TruSeq	0	1549
TruSeq vs BOBseq	ENSG00000093167	LRRFIP2	7.328	5.671	-2.056	under-represented in TruSeq	0	1810
TruSeq vs BOBseq	ENSG00000093183	SEC22C	3.27	5.748	2.08	over-represented in TruSeq	0	3116
TruSeq vs BOBseq	ENSG00000094804	CDC6	4.024	7.165	2.743	over-represented in TruSeq	0	1883
TruSeq vs BOBseq	ENSG00000094880	CDC23	3.955	6.438	2.085	over-represented in TruSeq	0	1307
TruSeq vs BOBseq	ENSG00000095002	MSH2	3.647	6.894	2.849	over-represented in TruSeq	0	3053
TruSeq vs BOBseq	ENSG00000095139	ARCN1	4.131	7.318	2.789	over-represented in TruSeq	0	3801
TruSeq vs BOBseq	ENSG00000096092	TMEM14A	2.901	5.927	2.628	over-represented in TruSeq	0	988
TruSeq vs BOBseq	ENSG00000096401	CDC5L	3.203	5.63	2.029	over-represented in TruSeq	0	6241
TruSeq vs BOBseq	ENSG00000096717	SIRT1	2.715	5.308	2.195	over-represented in TruSeq	0	3780
TruSeq vs BOBseq	ENSG00000097033	SH3GLB1	2.666	5.817	2.753	over-represented in TruSeq	0	3700
TruSeq vs BOBseq	ENSG00000097046	CDC7	2.839	6.683	3.446	over-represented in TruSeq	0	3103
TruSeq vs BOBseq	ENSG00000099194	SCD	5.091	8.543	3.053	over-represented in TruSeq	0	5245
TruSeq vs BOBseq	ENSG00000099330	OCEL1	5.644	2.623	-3.419	under-represented in TruSeq	0	759
TruSeq vs BOBseq	ENSG00000099624	ATP5F1D	11.231	8.096	-3.533	under-represented in TruSeq	0	592
TruSeq vs BOBseq	ENSG00000099795	NDUFB7	10.504	8.638	-2.264	under-represented in TruSeq	0	534
TruSeq vs BOBseq	ENSG00000099797	TECR	10.052	8.177	-2.273	under-represented in TruSeq	0	1080
TruSeq vs BOBseq	ENSG00000099800	TIMM13	12.042	8.162	-4.278	under-represented in TruSeq	0	702
TruSeq vs BOBseq	ENSG00000099999	RNF215	5.863	3.901	-2.361	under-represented in TruSeq	0	1332
TruSeq vs BOBseq	ENSG00000100030	MAPK1	2.588	6.411	3.425	over-represented in TruSeq	0	933
TruSeq vs BOBseq	ENSG00000100106	TRIOBP	6.313	4.281	-2.43	under-represented in TruSeq	0	3197
TruSeq vs BOBseq	ENSG00000100196	KDELR3	2.039	4.632	2.196	over-represented in TruSeq	0	1478
TruSeq vs BOBseq	ENSG00000100206	DMC1	6.448	4.178	-2.668	under-represented in TruSeq	0	1628
TruSeq vs BOBseq	ENSG00000100225	FBXO7	4.215	7.097	2.484	over-represented in TruSeq	0	1973
TruSeq vs BOBseq	ENSG00000100345	MYH9	9.028	7.087	-2.339	under-represented in TruSeq	0	1993
TruSeq vs BOBseq	ENSG00000100359	SGSM3	8.074	5.758	-2.714	under-represented in TruSeq	0	1629
TruSeq vs BOBseq	ENSG00000100372	SLC25A17	2.961	6.407	3.048	over-represented in TruSeq	0	1426
TruSeq vs BOBseq	ENSG00000100380	ST13	6.829	9.263	2.036	over-represented in TruSeq	0	961
TruSeq vs BOBseq	ENSG00000100417	PMM1	6.522	4.778	-2.142	under-represented in TruSeq	0	1348
TruSeq vs BOBseq	ENSG00000100442	FKBP3	5.333	7.889	2.158	over-represented in TruSeq	0	1531
TruSeq vs BOBseq	ENSG00000100479	POLE2	2.375	5.449	2.676	over-represented in TruSeq	0	1141
TruSeq vs BOBseq	ENSG00000100490	CDKL1	5.125	3.115	-2.408	under-represented in TruSeq	0	1936
TruSeq vs BOBseq	ENSG00000100519	PSMC6	3.979	7.713	3.336	over-represented in TruSeq	0	1176
TruSeq vs BOBseq	ENSG00000100526	CDKN3	4.303	6.954	2.253	over-represented in TruSeq	0	748
TruSeq vs BOBseq	ENSG00000100528	CNIH1	2.932	7.825	4.495	over-represented in TruSeq	0	1375
TruSeq vs BOBseq	ENSG00000100567	PSMA3	3.996	8.489	4.095	over-represented in TruSeq	0	944
TruSeq vs BOBseq	ENSG00000100577	GSTZ1	8.65	5.675	-3.373	under-represented in TruSeq	0	1119
TruSeq vs BOBseq	ENSG00000100591	AHSA1	10.919	8.979	-2.337	under-represented in TruSeq	0	798
TruSeq vs BOBseq	ENSG00000100599	RIN3	4.045	2.32	-2.124	under-represented in TruSeq	0	2587
TruSeq vs BOBseq	ENSG00000100632	ERH	6.94	9.852	2.514	over-represented in TruSeq	0	788
TruSeq vs BOBseq	ENSG00000100749	VRK1	3.686	6.623	2.539	over-represented in TruSeq	0	1675
TruSeq vs BOBseq	ENSG00000100836	PABPN1	10.846	8.309	-2.935	under-represented in TruSeq	0	1417
TruSeq vs BOBseq	ENSG00000100934	SEC23A	3.126	6.522	2.998	over-represented in TruSeq	0	3336
TruSeq vs BOBseq	ENSG00000100968	NFATC4	5.218	2.64	-2.976	under-represented in TruSeq	0	
TruSeq vs BOBseq	ENSG00000101004	NINL	4.852	2.793	-2.457	under-represented in TruSeq	0	3532
TruSeq vs BOBseq	ENSG00000101052	IFT52	2.948	5.991	2.646	over-represented in TruSeq	0	1502
TruSeq vs BOBseq	ENSG00000101132	PFDN4	4.177	7.49	2.915	over-represented in TruSeq	0	636
TruSeq vs BOBseq	ENSG00000101166	PRELID3B	4.625	7.521	2.498	over-represented in TruSeq	0	1708
TruSeq vs BOBseq	ENSG00000101310	SEC23B	2.761	6.319	3.16	over-represented in TruSeq	0	2334
TruSeq vs BOBseq	ENSG00000101367	MAPRE1	5.237	7.73	2.095	over-represented in TruSeq	0	2562
TruSeq vs BOBseq	ENSG00000101546	RBFA	7.046	5.023	-2.421	under-represented in TruSeq	0	1650
TruSeq vs BOBseq	ENSG00000101557	USP14	3.235	6.383	2.75	over-represented in TruSeq	0	3177
TruSeq vs BOBseq	ENSG00000101558	VAPA	4.549	7.246	2.299	over-represented in TruSeq	0	1302
TruSeq vs BOBseq	ENSG00000101843	PSMD10	2.317	7.934	5.219	over-represented in TruSeq	0	1336
TruSeq vs BOBseq	ENSG00000101871	MID1	3.367	5.962	2.197	over-represented in TruSeq	0	3858
TruSeq vs BOBseq	ENSG00000101898	MCTS2	2.624	5.506	2.484	over-represented in TruSeq	0	1641
TruSeq vs BOBseq	ENSG00000101911	PRPS2	3.995	6.493	2.1	over-represented in TruSeq	0	2319
TruSeq vs BOBseq	ENSG00000101972	STAG2	4.098	7.235	2.739	over-represented in TruSeq	0	4718
TruSeq vs BOBseq	ENSG00000102007	PLP2	5.094	1.635	-3.858	under-represented in TruSeq	0	1101
TruSeq vs BOBseq	ENSG00000102024	PLS3	4.967	9.448	4.083	over-represented in TruSeq	0	2467
TruSeq vs BOBseq	ENSG00000102038	SMARCA1	2.97	5.457	2.089	over-represented in TruSeq	0	3935
TruSeq vs BOBseq	ENSG00000102144	PGK1	6.337	9.068	2.333	over-represented in TruSeq	0	2064
TruSeq vs BOBseq	ENSG00000102393	GLA	5.621	8.229	2.21	over-represented in TruSeq	0	1590
TruSeq vs BOBseq	ENSG00000102543	CDADC1	6.363	4.581	-2.179	under-represented in TruSeq	0	1093
TruSeq vs BOBseq	ENSG00000102710	SUPT20H	2.317	5.34	2.625	over-represented in TruSeq	0	1525
TruSeq vs BOBseq	ENSG00000102805	CLN5	3.115	6.017	2.504	over-represented in TruSeq	0	2456
TruSeq vs BOBseq	ENSG00000102870	ZNF629	5.609	3.37	-2.637	under-represented in TruSeq	0	6083
TruSeq vs BOBseq	ENSG00000102931	ARL2BP	2.959	6.571	3.215	over-represented in TruSeq	0	1925
TruSeq vs BOBseq	ENSG00000103064	SLC7A6	3.006	5.703	2.299	over-represented in TruSeq	0	4994
TruSeq vs BOBseq	ENSG00000103145	HCFC1R1	8.875	5.96	-3.314	under-represented in TruSeq	0	801
TruSeq vs BOBseq	ENSG00000103187	COTL1	9.092	6.596	-2.894	under-represented in TruSeq	0	1589
TruSeq vs BOBseq	ENSG00000103194	USP10	4.902	7.438	2.138	over-represented in TruSeq	0	1849
TruSeq vs BOBseq	ENSG00000103254	ANTKMT	7.913	5.455	-2.856	under-represented in TruSeq	0	567
TruSeq vs BOBseq	ENSG00000103260	METRN	6.167	3.722	-2.843	under-represented in TruSeq	0	1143
TruSeq vs BOBseq	ENSG00000103353	UBFD1	4.14	6.7	2.162	over-represented in TruSeq	0	3641
TruSeq vs BOBseq	ENSG00000103363	ELOB	11.78	8.953	-3.225	under-represented in TruSeq	0	596
TruSeq vs BOBseq	ENSG00000103365	GGA2	4.348	6.831	2.085	over-represented in TruSeq	0	2225
TruSeq vs BOBseq	ENSG00000103485	QPRT	7.134	5.217	-2.315	under-represented in TruSeq	0	2139
