chrom	intron_start_0based	intron_end	strand
11	552260	552568	+
11	552659	554534	+
11	552702	553962	+
11	554294	554534	+
11	555111	555304	-
11	624263	624556	-
11	624413	624556	-
11	624416	624556	-
11	624732	624817	-
11	626530	626696	-
11	626530	626887	-
11	626782	626887	-
11	626789	626887	-
11	626789	627072	-
11	626989	627072	-
11	637589	639432	+
11	637589	640400	+
11	639545	639647	+
11	640306	640400	+
11	644501	644548	-
11	644636	694678	-
11	644654	645300	-
11	644654	646127	-
11	644654	646284	-
11	644654	646326	-
11	644654	646359	-
11	644654	649900	-
11	644654	651161	-
11	644654	653173	-
11	644654	653961	-
11	644654	674535	-
11	644902	645616	-
11	644944	646034	-
11	644944	652865	-
11	644944	692634	-
11	644969	646059	-
11	645085	646175	-
11	645404	646193	-
11	645404	655920	-
11	645534	646127	-
11	645543	646127	-
11	646034	652865	-
11	646175	649173	-
11	646175	652560	-
11	646175	653006	-
11	646175	666627	-
11	646249	653961	-
11	646335	646441	-
11	646555	651161	-
11	646555	653961	-
11	648282	671016	-
11	648990	649459	-
11	649057	649526	-
11	649057	650181	-
11	649223	649692	-
11	649526	650181	-
11	649692	649998	-
11	649692	652610	-
11	649765	650114	-
11	649807	652865	-
11	650873	651858	-
11	651072	651808	-
11	651407	653173	-
11	651407	653961	-
11	651760	666579	-
11	651808	652560	-
11	651808	653006	-
11	651858	652610	-
11	651946	652229	-
11	651946	653173	-
11	651946	653961	-
11	652444	652890	-
11	652610	653056	-
11	652865	662078	-
11	652865	692634	-
11	652958	666579	-
11	653056	661682	-
11	653384	653961	-
11	653444	653961	-
11	653504	653961	-
11	653564	653961	-
11	653624	653961	-
11	654048	659434	-
11	654048	674535	-
11	654051	654201	-
11	654051	654614	-
11	654051	657323	-
11	654051	659432	-
11	654051	659434	-
11	654051	674342	-
11	654051	674535	-
11	654051	678693	-
11	654051	691500	-
11	654656	674535	-
11	654701	659434	-
11	654701	674535	-
11	654704	659434	-
11	654704	674535	-
11	655920	671016	-
11	657113	657182	-
11	657124	657182	-
11	657168	657227	-
11	658168	659131	-
11	659796	660651	-
11	659796	674535	-
11	660773	674535	-
11	661516	662103	-
11	661682	662255	-
11	662168	675074	-
11	662255	663420	-
11	663463	663742	-
11	663490	663603	-
11	666579	666753	-
11	666640	666813	+
11	667583	667893	-
11	667706	668009	+
11	668591	669698	+
11	668773	669881	+
11	668935	669852	-
11	669204	670501	+
11	669216	669692	+
11	669405	669698	+
11	669418	669711	-
11	669448	669741	-
11	669558	669852	-
11	669669	669804	-
11	669711	669846	-
11	670618	671356	+
11	671010	671302	-
11	671160	681642	-
11	672163	672237	-
11	672163	672311	-
11	672163	672459	-
11	672237	672311	-
11	673023	673402	-
11	674259	678322	+
11	674783	675710	-
11	674783	675742	-
11	674783	678024	-
11	674783	678693	-
11	674783	679687	-
11	674783	680962	-
11	674783	684897	-
11	675816	678693	-
11	676181	676346	-
11	677285	677739	+
11	678749	691506	-
11	678822	679529	-
11	678822	679687	-
11	678822	680962	-
11	678822	684897	-
11	679793	680962	-
11	679816	679977	-
11	679816	680962	-
11	679816	684897	-
11	680074	680962	-
11	680074	684897	-
11	681079	684897	-
11	681087	684897	-
11	681089	681236	-
11	681089	684897	-
11	681362	684897	-
11	684414	684897	-
11	684963	686375	-
11	684963	686715	-
11	684963	686857	-
11	684963	687910	-
11	684963	691500	-
11	685884	686022	-
11	686687	686857	-
11	686997	687301	-
11	686997	687910	-
11	686997	691500	-
11	688049	688322	-
11	688049	688330	-
11	688057	688330	-
11	688057	691500	-
11	688208	688330	-
11	688460	688582	-
11	688460	689022	-
11	688460	689411	-
11	688460	689443	-
11	688460	689600	-
11	688460	689604	-
11	688460	689740	-
11	688460	691500	-
11	688460	694678	-
11	689143	689411	-
11	689143	691500	-
11	689280	690751	-
11	689813	691500	-
11	691598	692249	-
11	691598	692272	-
11	691598	692543	-
11	691598	693488	-
11	691598	694678	-
11	691598	694758	-
11	691598	695274	-
11	691598	706337	-
11	691598	706471	-
11	691598	706571	-
11	693622	694333	-
11	693622	694678	-
11	693792	694678	-
11	693807	694333	-
11	693807	694678	-
11	694333	694678	-
11	694466	694678	-
11	694475	698868	+
11	694554	694607	+
11	694594	694647	+
11	694939	694990	-
11	694939	695002	-
11	694944	695002	-
11	694947	694993	-
11	695822	696408	+
11	695822	698868	+
11	695822	700179	+
11	695846	696408	+
11	695846	698868	+
11	695846	703490	+
11	696078	698868	+
11	696455	698868	+
11	696695	697183	+
11	697999	700138	-
11	697999	701904	-
11	697999	706337	-
11	697999	706471	-
11	697999	706571	-
11	698212	698868	+
11	698242	706337	-
11	698242	706571	-
11	698888	700141	+
11	698980	700056	+
11	700235	700614	+
11	700235	702944	+
11	700239	700619	+
11	700707	700834	+
11	700707	700845	+
11	700707	702080	+
11	700707	702944	+
11	700707	703799	+
11	701657	701774	-
11	701967	706571	-
11	702186	702944	+
11	702465	702879	-
11	702465	702948	-
11	703041	703691	+
11	703146	703299	+
11	703146	703781	+
11	703146	703799	+
11	704996	705293	-
11	705454	706140	+
11	705467	706571	-
11	706263	709340	+
11	706288	706595	+
11	706288	706673	+
11	706288	706676	+
11	706288	708574	+
11	706288	709329	+
11	706288	709552	+
11	706288	710421	+
11	706801	707399	+
11	706801	708574	+
11	706801	709329	+
11	706813	707399	+
11	706813	709329	+
11	708643	709329	+
11	709451	709538	+
11	709451	709552	+
11	709608	710302	+
11	709608	710304	+
11	709608	710356	+
11	709608	710421	+
11	709608	710426	+
11	47257294	47257995	+
11	47257635	47257995	+
11	47257635	47259790	+
11	47257735	47257995	+
11	47257735	47259179	+
11	47257735	47259785	+
11	47257735	47259790	+
11	47257735	47261240	+
11	47257772	47257995	+
11	47258113	47259179	+
11	47258129	47259100	+
11	47258129	47259179	+
11	47258129	47259184	+
11	47258129	47259785	+
11	47258129	47259790	+
11	47258133	47259179	+
11	47258133	47259184	+
11	47258165	47259179	+
11	47258165	47259184	+
11	47258165	47259790	+
11	47259259	47259360	+
11	47259259	47259785	+
11	47259259	47259790	+
11	47259596	47259790	+
11	47259606	47259790	+
11	47259979	47260381	+
11	47259979	47260408	+
11	47259979	47260410	+
11	47259979	47260550	+
11	47259979	47261240	+
11	47259979	47261918	+
11	47259979	47267912	+
11	47260673	47261240	+
11	47260675	47260745	+
11	47260675	47260761	+
11	47260675	47261240	+
11	47260675	47267912	+
11	47261067	47261240	+
11	47261449	47261520	+
11	47261449	47261546	+
11	47261449	47261636	+
11	47261449	47261918	+
11	47261449	47267912	+
11	47261726	47261918	+
11	47261726	47267912	+
11	47262014	47267912	+
11	47262018	47266199	+
11	47262018	47266360	+
11	47262018	47267912	+
11	47262018	47268260	+
11	47262018	47268549	+
11	47266308	47266431	+
11	47266308	47267912	+
11	47266478	47267912	+
11	47267823	47267912	+
11	47268026	47268154	+
11	47268026	47268228	+
11	47268026	47268260	+
11	47268026	47268277	+
11	47268026	47268549	+
11	47268082	47268260	+
11	47268289	47268549	+
11	47268355	47268549	+
11	47269283	47273826	+
11	47269644	47273826	+
11	47269644	47274562	+
11	47269750	47273826	+
11	47269750	47274562	+
11	47269874	47273826	+
11	47269906	47273826	+
11	47269906	47274562	+
11	47270246	47273826	+
11	47270246	47273840	+
11	47270246	47274562	+
11	47270246	47275898	+
11	47270980	47271078	-
11	47272089	47273826	+
11	47272330	47273826	+
11	47273976	47274562	+
11	47274834	47274929	+
11	47275159	47275898	+
11	47275159	47276095	+
11	47275159	47276731	+
11	47276172	47276731	+
11	47276202	47276704	+
11	47276202	47276731	+
11	47276863	47277912	+
11	47276863	47278164	+
11	47276863	47308623	+
11	47278278	47278998	+
11	47279079	47281574	+
11	47281753	47282380	+
11	47281753	47282812	+
11	47282616	47282812	+
11	47282616	47284177	+
11	47282616	47284374	+
11	47282969	47284177	+
11	47282969	47284243	+
11	47282969	47284374	+
11	47284281	47284374	+
11	47284281	47284398	+
11	47284565	47284940	+
11	47284565	47289390	+
11	47285065	47285450	+
11	47285065	47285477	+
11	47285065	47286432	+
11	47285065	47289390	+
11	47285069	47289945	+
11	47285194	47285403	+
11	47285194	47285450	+
11	47285194	47285477	+
11	47285194	47286432	+
11	47285194	47289390	+
11	47285590	47286432	+
11	47285590	47289390	+
11	47286534	47288967	+
11	47286534	47289073	+
11	47286534	47289390	+
11	47287038	47287687	+
11	47289027	47289390	+
11	47289493	47289784	+
11	47289493	47289788	+
11	47289493	47289866	+
11	47289493	47290148	+
11	47289493	47290609	+
11	47289493	47295495	+
11	47289945	47290148	+
11	47290053	47290128	+
11	47290053	47290148	+
11	47290053	47290151	+
11	47290053	47290609	+
11	47290299	47290609	+
11	47290299	47293882	+
11	47290816	47292542	+
11	47290816	47293882	+
11	47290816	47295495	+
11	47292596	47293882	+
11	47292596	47295495	+
11	47293983	47295495	+
11	47295567	47295896	+
11	47295576	47295717	+
11	47295576	47295896	+
11	47295579	47295717	+
11	47295579	47295896	+
11	47295579	47308590	+
11	47295606	47295896	+
11	47295765	47295896	+
11	47295954	47308590	+
11	47296055	47302028	+
11	47296055	47302214	+
11	47296055	47308590	+
11	47296055	47309506	+
11	47297491	47297833	+
11	47297541	47297883	+
11	47297589	47297931	+
11	47297723	47298065	+
11	47299740	47300251	+
11	47300301	47300592	+
11	47300542	47301157	+
11	47302084	47308590	+
11	47302356	47308590	+
11	47303748	47304373	+
11	47303885	47304373	+
11	47307763	47318902	+
11	47308699	47308979	+
11	47308699	47309280	+
11	47308699	47309506	+
11	47309042	47309280	+
11	47309401	47309506	+
11	47309612	47311731	+
11	47309612	47315219	+
11	47310022	47310804	+
11	47310232	47310810	+
11	47311842	47315219	+
11	47311842	47323670	+
11	47315327	47321810	+
11	47315327	47323540	+
11	47315327	47323670	+
11	47315926	47318902	+
11	47316531	47316886	+
11	47318902	47319899	+
11	47318902	47320697	+
11	47321991	47323670	+
11	47322509	47323135	+
11	47323835	47324183	+
11	47323835	47324264	+
11	47323835	47324470	+
11	47324337	47324470	+
11	47324577	47324917	+
11	47324577	47325261	+
11	47324577	47326543	+
11	47324577	47326737	+
11	47324577	47326831	+
11	47324577	47328657	+
11	47324577	47329045	+
11	47324855	47326737	+
11	47325032	47326737	+
11	47325329	47326543	+
11	47325329	47326737	+
11	47326552	47326737	+
11	47326552	47326831	+
11	47326807	47327441	+
11	47326807	47328657	+
11	47326807	47329045	+
11	47327025	47328657	+
11	47327444	47328657	+
11	47327504	47328657	+
11	47328704	47329045	+
11	47331716	47331844	-
11	47331716	47332071	-
11	47331873	47332071	-
11	47331881	47332071	-
11	47331881	47332078	-
11	47332237	47332565	-
11	47332258	47332565	-
11	47332258	47332813	-
11	47332702	47332813	-
11	47332973	47333193	-
11	47332973	47333556	-
11	47333333	47333556	-
11	47333752	47333921	-
11	47334010	47335041	-
11	47334010	47335876	-
11	47334010	47337390	-
11	47335209	47335876	-
11	47335209	47337390	-
11	47335625	47335876	-
11	47335663	47335876	-
11	47336011	47337390	-
11	47337511	47337689	-
11	47337579	47337689	-
11	47337607	47337689	-
11	47337794	47338221	-
11	47337794	47338519	-
11	47338679	47339323	-
11	47338679	47339650	-
11	47339395	47339650	-
11	47339404	47339650	-
11	47339790	47341002	-
11	47341032	47341137	-
11	47341244	47341990	-
11	47342151	47342577	-
11	47342156	47342577	-
11	47342744	47342829	-
11	47342744	47343020	-
11	47342935	47343020	-
11	47343145	47343259	-
11	47343262	47343491	-
11	47343624	47346206	-
11	47344196	47346206	-
11	47344196	47347425	-
11	47346095	47346132	-
11	47346132	47346206	-
11	47346370	47346626	-
11	47346370	47347425	-
11	47346641	47347425	-
11	47346644	47347026	-
11	47346644	47347421	-
11	47346644	47347425	-
11	47346647	47347425	-
11	47347029	47347425	-
11	47347473	47347650	-
11	47347479	47347650	-
11	47347479	47347856	-
11	47347517	47347650	-
11	47347517	47347856	-
11	47347680	47347856	-
11	47347903	47348423	-
11	47347905	47348423	-
11	47348541	47349773	-
11	47349922	47350013	-
11	130068158	130069895	+
11	130069658	130109428	+
11	130069933	130120776	+
11	130070014	130109428	+
11	130070018	130109549	+
11	130070037	130109428	+
11	130070082	130101369	+
11	130070082	130101925	+
11	130070082	130107427	+
11	130070082	130109428	+
11	130070082	130109549	+
11	130070082	130110537	+
11	130070082	130120705	+
11	130070747	130109428	+
11	130072754	130074491	+
11	130073566	130074491	+
11	130077314	130109428	+
11	130080256	130080741	+
11	130082038	130084143	+
11	130082203	130084149	+
11	130082203	130084175	+
11	130082278	130084153	+
11	130083178	130084104	+
11	130083266	130084009	+
11	130083273	130084015	+
11	130083281	130084009	+
11	130094330	130094466	+
11	130094330	130106964	+
11	130100425	130109428	+
11	130101513	130109428	+
11	130102000	130109428	+
11	130104495	130105980	+
11	130104495	130106964	+
11	130108983	130109428	+
11	130109509	130133628	+
11	130109549	130110573	+
11	130109581	130121745	+
11	130109602	130109703	+
11	130109602	130110537	+
11	130109602	130121712	+
11	130109602	130129170	+
11	130109602	130144425	+
11	130109602	130144762	+
11	130109610	130141524	+
11	130109617	130110537	+
11	130109953	130110537	+
11	130110564	130120765	+
11	130110573	130120776	+
11	130110585	130120705	+
11	130110585	130121613	+
11	130110585	130121712	+
11	130110585	130122321	+
11	130110585	130122324	+
11	130110661	130114921	+
11	130110661	130117796	+
11	130110661	130120705	+
11	130110661	130121613	+
11	130110661	130121712	+
11	130110661	130126699	+
11	130110661	130140397	+
11	130115006	130120705	+
11	130116530	130117481	+
11	130117859	130120705	+
11	130120776	130121613	+
11	130120776	130121712	+
11	130120806	130121613	+
11	130120818	130121231	+
11	130120818	130121613	+
11	130120818	130121628	+
11	130120818	130121712	+
11	130120818	130121745	+
11	130120818	130121751	+
11	130121297	130121613	+
11	130121297	130121712	+
11	130121686	130144312	+
11	130121799	130122374	+
11	130121799	130122386	+
11	130121799	130122398	+
11	130121799	130142040	+
11	130121810	130122304	+
11	130121810	130140448	+
11	130121810	130144460	+
11	130122450	130143555	+
11	130122513	130123611	+
11	130122513	130126699	+
11	130122513	130126756	+
11	130122513	130140397	+
11	130123690	130126699	+
11	130123779	130126699	+
11	130125002	130126699	+
11	130126728	130143346	+
11	130126736	130144773	+
11	130126785	130144312	+
11	130126830	130127293	+
11	130126830	130127765	+
11	130126830	130127771	+
11	130126830	130127774	+
11	130126830	130129047	+
11	130126860	130127765	+
11	130127475	130127765	+
11	130127479	130127765	+
11	130127824	130130055	+
11	130127824	130142040	+
11	130127840	130129047	+
11	130127840	130130037	+
11	130128886	130129047	+
11	130129150	130130055	+
11	130129206	130130037	+
11	130130145	130144406	+
11	130130166	130133628	+
11	130130166	130135562	+
11	130130166	130140397	+
11	130130166	130141497	+
11	130130166	130141918	+
11	130130166	130143346	+
11	130130166	130144422	+
11	130130907	130133628	+
11	130133728	130135529	+
11	130133728	130135562	+
11	130133728	130140397	+
11	130133732	130135567	+
11	130133732	130144284	+
11	130134343	130135562	+
11	130135633	130143346	+
11	130135633	130143373	+
11	130135639	130137255	+
11	130135639	130140397	+
11	130135639	130141497	+
11	130135715	130136200	+
11	130135715	130137255	+
11	130135715	130140397	+
11	130135715	130141497	+
11	130136319	130137255	+
11	130136319	130140397	+
11	130136423	130137255	+
11	130137291	130137976	+
11	130137291	130140397	+
11	130138114	130140397	+
11	130139655	130140397	+
11	130140447	130141497	+
11	130140457	130141497	+
11	130140483	130141388	+
11	130140483	130141413	+
11	130140483	130141463	+
11	130140483	130141497	+
11	130140483	130141509	+
11	130140483	130141524	+
11	130140483	130141918	+
11	130140654	130141497	+
11	130141572	130141918	+
11	130141572	130143346	+
11	130142068	130143346	+
11	130142074	130143331	+
11	130142074	130143346	+
11	130143486	130144276	+
11	130143637	130144276	+
11	130143637	130144721	+
11	130143817	130144468	+
11	130144014	130144460	+
11	130144171	130144284	+
11	130144217	130144387	+
11	130144268	130144301	+
11	130144278	130144312	+
11	130144284	130144468	+
11	130160060	130163779	+
12	2840995	2843211	+
12	2840995	2843234	+
12	2840995	2843400	+
12	2840995	2848166	+
12	2840995	2857631	+
12	2840995	2858011	+
12	2843368	2848166	+
12	2843368	2858011	+
12	2843581	2858011	+
12	2843748	2844193	+
12	2845062	2858011	+
12	2848236	2858011	+
12	2850767	2851074	+
12	2852486	2852886	-
12	2852509	2852857	+
12	2858331	2859533	+
12	2858822	2868570	-
12	2859663	2860048	-
12	2859663	2860359	-
12	2859663	2861298	-
12	2859663	2861345	-
12	2859663	2861378	-
12	2859663	2861627	-
12	2859663	2864319	-
12	2859663	2864451	-
12	2860145	2864319	-
12	2860479	2861298	-
12	2860479	2861378	-
12	2861412	2861627	-
12	2861412	2864319	-
12	2861663	2864319	-
12	2864495	2864682	-
12	2864749	2866392	-
12	2864752	2864884	-
12	2864752	2865354	-
12	2864752	2866392	-
12	2864752	2868562	-
12	2864755	2865354	-
12	2864755	2866392	-
12	2864945	2865354	-
12	2865399	2866392	-
12	2865399	2868562	-
12	2866521	2868562	-
12	2866521	2872095	-
12	2866892	2867204	-
12	2868754	2872095	-
12	2868754	2872101	-
12	2868754	2873976	-
12	2868754	2876919	-
12	2870100	2870585	-
12	2870100	2870880	-
12	2870537	2870833	-
12	2872194	2873976	-
12	2872244	2873917	-
12	2872244	2873952	-
12	2872244	2873976	-
12	2872244	2876919	-
12	2872247	2873917	-
12	2872247	2873952	-
12	2872247	2873976	-
12	2872247	2876919	-
12	2874525	2876919	-
12	2876515	2885282	+
12	2876515	2887910	+
12	2877282	2878026	+
12	2877282	2879018	+
12	2877282	2879758	+
12	2877282	2881123	+
12	2877282	2885161	+
12	2877282	2885262	+
12	2877282	2885282	+
12	2877282	2885377	+
12	2877282	2887910	+
12	2878113	2885282	+
12	2878113	2887910	+
12	2878389	2885282	+
12	2878565	2885282	+
12	2878760	2885282	+
12	2879100	2885282	+
12	2879100	2887910	+
12	2879683	2885282	+
12	2879910	2885282	+
12	2881245	2885282	+
12	2884462	2884598	+
12	2885492	2886977	+
12	2885492	2887910	+
12	2885492	2888216	+
12	2885534	2886977	+
12	2885534	2887910	+
12	2885534	2887932	+
12	2885534	2888216	+
12	2885897	2885952	+
12	2886103	2887910	+
12	2887066	2887910	+
12	2887111	2887910	+
12	2888572	2897053	+
12	2888622	2896035	+
12	2888657	2888740	+
12	2888670	2888740	+
12	2890988	2891500	+
12	2890988	2891641	+
14	30874591	30874667	+
14	30874591	30874915	+
14	30874591	30875055	+
14	30874591	30877571	+
14	30874972	30875055	+
14	30874972	30877571	+
14	30875055	30877571	+
14	30875103	30875302	+
14	30875103	30875758	+
14	30875103	30877571	+
14	30875103	30877599	+
14	30875103	30877601	+
14	30875103	30879422	+
14	30875103	30880451	+
14	30875298	30877571	+
14	30875516	30877571	+
14	30875916	30877571	+
14	30877728	30877848	+
14	30877728	30878333	+
14	30877728	30878810	+
14	30877728	30879012	+
14	30877728	30879422	+
14	30877728	30880451	+
14	30878049	30878810	+
14	30878515	30878810	+
14	30878944	30879422	+
14	30878944	30879425	+
14	30878944	30880451	+
14	30878948	30879422	+
14	30879072	30879422	+
14	30879485	30880451	+
14	30880496	30880586	+
14	30880496	30884552	+
14	30880734	30884552	+
14	30880734	30889615	+
14	30881698	30882423	-
14	30884656	30884909	+
14	30884656	30884984	+
14	30884656	30885393	+
14	30884656	30885795	+
14	30884674	30885412	-
14	30885041	30885393	+
14	30885620	30885795	+
14	30885620	30886199	+
14	30885620	30889615	+
14	30886312	30889615	+
14	30886312	30894912	+
14	30886326	30889142	-
14	30886326	30889383	-
14	30889255	30889383	-
14	30889277	30889383	-
14	30889793	30894912	+
14	30892528	30894462	+
14	30892566	30892704	+
14	30892566	30893429	+
14	30892566	30894666	+
14	30892572	30893436	+
14	30892665	30893532	+
14	30895580	30895661	-
14	30895607	30895661	-
14	30895748	30899310	-
14	30895748	30902535	-
14	30900164	30900555	-
14	30901180	30901907	-
14	30901247	30901974	-
14	30901907	30902045	-
14	30902643	30905417	-
14	30902643	30906876	-
14	30905558	30906876	-
14	30906948	30911040	-
14	30907044	30911040	-
14	30911162	30911776	-
14	30911824	30912006	-
14	30912182	30913523	-
14	30912182	30913627	-
14	30912182	30918965	-
14	30912182	30929200	-
14	30912182	30935162	-
14	30913657	30916947	-
14	30913657	30918965	-
14	30913657	30929200	-
14	30913657	30935162	-
14	30913686	30935162	-
14	30916405	30918399	-
14	30916552	30916707	+
14	30917019	30918965	-
14	30919106	30923209	-
14	30919106	30929200	-
14	30919106	30935162	-
14	30922013	30927207	+
14	30922016	30927210	+
14	30922029	30922166	+
14	30922150	30927207	+
14	30922153	30927210	+
14	30922301	30927698	+
14	30923283	30924731	-
14	30923283	30925377	-
14	30923283	30925424	-
14	30923283	30926766	-
14	30923283	30929200	-
14	30923283	30935162	-
14	30924340	30924825	+
14	30924369	30924810	-
14	30924415	30924743	+
14	30924418	30927210	+
14	30924502	30924715	+
14	30925539	30926766	-
14	30925539	30929200	-
14	30926885	30929200	-
14	30927171	30927786	+
14	30927187	30927802	-
14	30927216	30927836	+
14	30929311	30931940	-
14	30929311	30935162	-
14	30932039	30933047	+
14	30932239	30935162	-
14	30932263	30935162	-
14	30935300	30936494	-
14	30935304	30936494	-
14	30936586	30947208	-
14	30936586	30955649	-
14	30936624	30939119	-
14	30936624	30945237	-
14	30936624	30947089	-
14	30936624	30955619	-
14	30939327	30947089	-
14	30944731	30945521	-
14	30945312	30947089	-
14	30946282	30946717	-
14	30947263	30950862	-
14	30947263	30955619	-
14	30950941	30955619	-
14	30950944	30951658	-
14	30950944	30953111	-
14	30950944	30955619	-
14	30951734	30953111	-
14	30951734	30955619	-
14	30953242	30955619	-
14	30955693	30955875	-
14	30955693	30956138	-
14	30955833	30956138	-
14	30955937	30956138	-
14	30956242	30957600	-
14	30956242	30958416	-
14	30956242	30959066	-
14	30956242	30959436	-
14	30956242	30963951	-
14	30956242	30964794	-
14	30956242	30966271	-
14	30956242	30966511	-
14	30956242	31011381	-
14	30956242	31025903	-
14	30956940	30957236	-
14	30956940	30960651	-
14	30956940	30996649	-
14	30959132	30959766	-
14	30959132	30960162	-
14	30959151	30959785	-
14	30959295	30960310	-
14	30959315	31025903	-
14	30959766	30960162	-
14	30960095	30960609	-
14	30960111	30962826	-
14	30960162	30961837	-
14	30960609	30960743	-
14	30963635	30964058	-
14	30964221	31025903	-
14	30976896	30977031	-
14	30976964	30977523	-
14	30981970	30983419	-
14	30985056	30985343	-
14	30986280	30986764	-
14	30991892	30992501	-
14	30992149	30992753	-
14	30992217	30992501	-
14	30992217	30992507	-
14	30992285	31008065	-
14	30992371	30992507	-
14	30994106	30994221	-
14	31001780	31001920	-
14	31001807	31001946	-
14	31001807	31002255	-
14	31001832	31001971	-
14	31001905	31002213	-
14	31001905	31004513	-
14	31001971	31011886	-
14	31003003	31003136	-
14	31005138	31005924	-
14	31006041	31006617	-
14	31010778	31011381	-
14	31011422	31025903	-
14	31011477	31025903	-
14	31012633	31015136	-
14	31019934	31020739	-
14	31019939	31020745	-
14	31019948	31020715	-
14	31019948	31020739	-
14	31020238	31020642	-
14	31020305	31020715	-
14	31025787	31032970	+
14	31025787	31036835	+
14	31026025	31026320	-
14	31033006	31036835	+
14	31035468	31036007	+
14	31035711	31036038	+
14	31036360	31037089	+
15	101271186	101271504	-
15	101271186	101271522	-
15	101271186	101272763	-
15	101271641	101272763	-
15	101271645	101272763	-
15	101271645	101274419	-
15	101272368	101272454	-
15	101272500	101272592	-
15	101272856	101274419	-
15	101274492	101274591	-
15	101274495	101274591	-
15	101274674	101275254	-
15	101274681	101275111	-
15	101274681	101275254	-
15	101274681	101276540	-
15	101274681	101277341	-
15	101275167	101275254	-
15	101275361	101276483	-
15	101275361	101276540	-
15	101275361	101276544	-
15	101275361	101277341	-
15	101276675	101277088	-
15	101276675	101277280	-
15	101276675	101277341	-
15	101276702	101277341	-
15	101277372	101277456	-
15	101281719	101295145	-
15	101281782	101282602	-
15	101281782	101282642	-
15	101281782	101283237	-
15	101281782	101284506	-
15	101281782	101284955	-
15	101281782	101284966	-
15	101281782	101285725	-
15	101281782	101286907	-
15	101281782	101291961	-
15	101281782	101295096	-
15	101281977	101284966	-
15	101282690	101284966	-
15	101283281	101284790	-
15	101283281	101284795	-
15	101283288	101283685	-
15	101283288	101284800	-
15	101283391	101284966	-
15	101283699	101284811	-
15	101284816	101284966	-
15	101284991	101295170	-
15	101285019	101285760	-
15	101285019	101295186	-
15	101285060	101285725	-
15	101285060	101285760	-
15	101285060	101286907	-
15	101285760	101291975	-
15	101285790	101286968	-
15	101285790	101293142	-
15	101285790	101295124	-
15	101285801	101286213	-
15	101285801	101286335	-
15	101285801	101286666	-
